sname,api06,avgedyrs,meals,englearn,full,emer
Alameda High,817,14.9,20,16,96,1
Encinal High,714,13.72,42,21,93,7
Albany High,830,16.2,10,13,93,2
Castro Valley High,785,15.16,9,5,94,3
American High,780,14.88,14,11,89,7
Irvington High,787,15.46,10,8,92,2
Kennedy (John F.) High,713,13.7,27,16,93,5
Mission San Jose High,922,16.82,2,3,98,4
Washington High,764,14.88,17,12,95,1
Hayward High,643,13.24,35,24,96,11
Mt. Eden High,655,13.38,41,24,96,5
Tennyson High,599,12.9,50,32,99,5
Granada High,785,15.16,8,5,89,6
Livermore High,776,14.88,12,8,94,0
Newark Memorial High,683,13.86,22,10,79,10
James Logan High,733,14.2,26,14,86,4
Oakland Senior High,603,12.4,72,25,89,2
Oakland Technical Senior High,614,13.7,47,12,88,0
Skyline High,680,13.96,44,11,86,2
Piedmont High,913,17.28,0,1,100,0
San Leandro High,660,13.52,40,15,93,16
Arroyo High,738,13.8,20,7,95,7
San Lorenzo High,659,13.18,37,14,95,7
Dublin High,794,15.1,7,4,92,5
Foothill High,832,16.32,2,2,97,5
Amador Valley High,850,16.1,3,3,97,3
Amador High,743,14.38,17,0,95,0
Chico High,722,14.62,28,9,100,0
Pleasant Valley High,793,14.04,21,4,100,0
Las Plumas High,687,14.26,51,10,94,3
Oroville High,702,14.18,54,12,91,0
Paradise Senior High,719,14.06,36,0,95,4
Bret Harte Union High,754,14.4,9,2,98,7
Calaveras High,695,14.06,16,1,100,0
Acalanes High,889,16.72,0,0,97,3
Campolindo High,903,16.82,0,0,95,3
Las Lomas High,839,16.04,3,5,93,6
Miramonte High,893,17.18,0,0,90,7
Deer Valley High,715,14.44,23,4,90,3
Antioch High,645,13.7,36,10,80,11
Heritage High School,780,14.98,7,3,94,3
Freedom High,716,14.06,12,6,92,8
Liberty High,715,14.4,12,9,88,9
Alhambra Senior High,773,15.6,11,4,95,0
Northgate High,827,16.3,3,2,91,36
Clayton Valley High,734,15.02,10,6,89,42
College Park High,769,15.3,8,4,90,38
Concord High,697,14.18,17,8,71,43
Mt. Diablo High,631,13.02,52,28,82,41
Ygnacio Valley High,671,13.56,44,30,91,41
Pittsburg Senior High,646,13.14,54,19,75,1
Hercules High,702,14.22,19,9,98,2
De Anza Senior High,622,12.74,44,19,88,7
El Cerrito Senior High,657,13.76,25,10,86,8
Kennedy High,562,11.86,72,33,86,3
Pinole Valley High,664,13,27,14,81,12
Richmond High,538,11.4,71,57,86,5
California High,849,16.1,1,2,95,4
Monte Vista High,873,16.64,0,1,95,4
San Ramon Valley High,860,16.48,1,0,94,6
Castle Rock Charter,579,13.54,50,2,98,2
Del Norte High,722,13.78,36,7,98,2
Oak Ridge High,839,16.48,1,0,97,3
Union Mine High,795,14.86,12,0,94,3
El Dorado High,764,14.6,17,3,98,0
Ponderosa High,828,15.42,5,0,97,3
South Tahoe High,726,13.66,37,15,99,1
Golden Sierra High,738,13.92,18,0,100,0
Clovis West High,819,15.58,17,7,98,3
Buchanan High,814,15.6,10,4,98,2
Clovis East High,706,13.98,39,15,95,2
Clovis High,755,14.56,25,8,95,5
Coalinga High,668,12.32,55,36,88,32
Bullard High,762,14.98,25,5,99,1
Duncan (Erma) Polytechnical High,714,11.58,100,20,100,0
Sunnyside High,639,12.54,74,29,97,2
Edison High,695,13.5,62,17,96,2
Fresno High,622,12.46,72,21,97,2
Herbert Hoover High,657,13.4,57,11,96,3
McLane High,595,11.78,82,38,90,7
Roosevelt High,568,11.16,73,39,99,1
Kingsburg High,761,13.5,19,5,100,0
Reedley High,658,12.78,76,28,88,8
Parlier High,559,11.96,99,50,91,6
Sanger High,721,12.92,64,20,95,1
Selma High,718,12.56,69,26,97,1
Washington High,595,12.24,66,51,71,16
Firebaugh High,669,10.78,79,34,89,8
Central High East Campus,675,13.34,39,12,89,4
Kerman High,665,12.28,50,27,96,2
Sierra High,757,14,7,0,98,7
Arcata High,769,15.48,15,1,96,2
McKinleyville High,739,13.92,9,1,100,0
Mattole Valley Charter (#159),636,14.22,0,0,97,3
Eureka Senior High,732,14.6,40,7,100,1
Brawley High,696,12.66,56,24,71,19
Calexico High,624,12.54,100,73,82,22
Imperial High,776,13.32,30,17,97,6
Bishop High,720,14.4,4,7,92,5
Chavez (Cesar E.) High,645,12,76,48,74,1
Golden Valley High,610,12.16,53,16,87,10
Arvin High,597,11.34,64,30,95,1
Stockdale High,760,14.9,12,3,98,0
Centennial High,698,14.22,23,5,95,4
Ridgeview High,666,13.28,35,5,89,2
Liberty High,708,14.46,9,1,98,0
Bakersfield High,677,13.54,41,8,92,2
East Bakersfield High,591,12.56,55,14,94,1
Foothill High,588,12.16,56,17,94,1
Highland High,633,13.14,51,13,97,2
North High,652,12.94,47,4,92,5
Shafter High,645,11.86,54,26,98,0
West High,624,12.86,52,8,86,6
Taft Union High,669,13.38,52,12,94,5
Tehachapi High,729,14.36,17,2,98,0
Wasco High,604,11.66,81,32,90,3
Burroughs High,752,14.14,29,7,86,11
McFarland High,616,11.94,80,25,84,6
Corcoran High,598,12.34,63,20,81,12
Hanford West High,668,13.16,39,11,92,0
Hanford High,687,13.48,29,9,94,1
Lemoore High,698,13.52,23,4,95,1
Lower Lake High,659,12.8,67,8,95,5
Lassen High,730,14.12,17,1,96,2
Cerritos High,815,15.68,5,4,99,0
Artesia High,635,12.96,42,23,95,0
Whitney (Gretchen) High,987,16.4,7,0,100,0
Gahr (Richard) High,721,14.16,22,8,98,0
) High,663,13.1,47,19,78,6
Eastside High,587,13.16,50,17,82,7
Antelope Valley High,584,12.36,47,19,57,21
Palmdale High,631,12.76,46,25,80,6
Quartz Hill High,740,14.54,10,3,78,13
Highland High,694,13.96,27,13,75,12
Littlerock High,636,12.6,58,25,76,5
Lancaster High,649,13.72,32,10,81,7
Arcadia High,837,15.76,8,10,92,2
Azusa High,635,12.06,55,29,88,1
Gladstone High,607,12.02,53,30,88,2
Baldwin Park High,618,11.74,67,24,98,2
Sierra Vista High,619,11.82,67,30,99,1
Opportunities for Learning - Baldwin Par,611,13.16,0,0,68,28
Bassett Senior High,633,12,68,26,78,13
Bellflower High,662,13.1,55,17,85,1
Mayfair High,723,14.22,37,6,93,0
Beverly Hills High,847,16.04,3,6,97,1
Bonita High,767,15.08,10,1,94,1
San Dimas High,751,14.64,16,1,95,2
Burbank High,751,14.48,27,14,88,11
Burroughs High,759,14.14,20,8,90,9
Hawthorne High,617,11.86,73,38,74,3
Lawndale High,725,12.58,66,14,88,0
Leuzinger High,562,12.16,62,33,68,8
Charter Oak High,713,13.9,17,3,94,1
Claremont High,793,15.5,17,4,94,0
Covina High,690,13.6,41,8,89,3
Northview High,688,13.28,44,10,89,16
South Hills High,738,14.38,25,5,90,5
Culver City Senior High,732,14.68,21,11,86,8
Downey High,678,13.24,41,14,80,4
Warren High,692,13.24,41,14,81,4
Duarte High,697,12.56,54,5,83,6
Arroyo High,683,12.38,66,23,93,2
El Monte High,650,11.42,86,46,92,2
Mountain View High,621,11.36,83,40,86,4
Rosemead High,668,11.82,68,17,87,2
South El Monte High,635,11.62,80,36,90,3
El Rancho High,669,12.44,47,26,79,8
El Segundo High,807,15.22,10,1,96,2
Crescenta Valley Senior High,858,15.34,7,8,95,0
Glendale Senior High,722,13.88,49,24,94,1
Hoover (Herbert) Senior High,750,13.84,45,22,94,2
Clark (Anderson W.) Magnet High,838,14.9,41,13,95,2
Glendora High,790,15.08,9,2,98,7
Gorman Learning Center,688,14.6,18,0,90,9
Inglewood High,564,12.42,40,22,55,24
Morningside High,549,11.86,52,30,58,16
La Canada High,898,16.96,1,2,99,0
Jordan High,604,12.72,68,25,89,5
Lakewood High,726,13.82,40,7,96,3
Millikan Senior High,672,13.4,54,22,94,2
Polytechnic High,726,14.08,51,12,90,4
Wilson High,724,14.26,40,14,92,3
Cabrillo (Juan Rodriguez) High,617,12.52,67,26,88,6
Orthopaedic Hospital,681,12.1,73,18,81,15
Valley New High School #1,692,13.6,57,15,94,3
South LA Area New High #1,451,11.14,75,51,69,18
South East High,538,11.84,87,31,73,14
Banning (Phineas) Senior High,589,11.9,70,25,84,6
Bell Senior High,574,11.56,90,41,86,5
Belmont Senior High,520,11.5,87,54,89,3
Birmingham Senior High,651,13.02,62,25,87,5
Canoga Park Senior High,640,12.44,73,38,96,1
Carson Senior High,581,13.5,41,9,86,8
Chatsworth Senior High,687,13.68,43,18,88,3
Cleveland (Grover) High,723,13.5,66,25,91,5
Crenshaw Senior High,506,12.88,69,16,78,10
Dorsey (Susan Miller) Senior High,508,12.88,64,22,73,14
Eagle Rock Junior-Senior High,702,13.52,66,16,88,3
El Camino Real Senior High,741,14.66,21,8,94,2
Los Angeles Center for Enriched Studies,826,15.14,38,0,97,3
Fairfax Senior High,642,13.26,70,26,86,4
Francis (John H.) Polytechnic,602,11.88,82,36,88,5
King/Drew Medical Magnet High,689,13.78,67,5,86,8
Franklin (Benjamin) Senior High,593,12,83,32,87,5
Fremont (John C.) Senior High,494,11.24,71,44,80,9
Sherman Oaks Center for Enriched Studies,829,15.08,41,7,94,3
Gardena Senior High,557,12.58,65,17,84,7
Garfield (James A.) Senior High,528,11.62,81,39,90,4
Granada Hills Charter High,796,15.16,26,7,90,1
