INDRA,PROV,CIRCUNS,CIRC,PROVINCIA,CIRCUNSCRI,CIRCUITO,APR_1,AL_1,TURNT_1,ELEC_1,VOTPOS_1,AL99CIRC,APR99CIR,TURN99CR,EAST,NORTH,INDRANO,APR99PC,AL99PC,TURN99PC
010010001,01,001,0001,Ciudad Autónoma de Bs.As.,Vélez Sarsfield,0001,1514.00,5602.00,11150.00,13297.00,10685.00,0.52,0.14,0.84,9505.50,8547.08,10010001,0.141694,0.524286,0.838535
010010002,01,001,0002,Ciudad Autónoma de Bs.As.,Vélez Sarsfield,0002,564.00,2375.00,4382.00,5315.00,4172.00,0.57,0.14,0.82,8708.50,9486.83,10010002,0.135187,0.569271,0.824459
010010003,01,001,0003,Ciudad Autónoma de Bs.As.,Vélez Sarsfield,0003,831.00,3985.00,7325.00,8603.00,6692.00,0.60,0.12,0.85,8615.00,10343.58,10010003,0.124178,0.595487,0.851447
010010004,01,001,0004,Ciudad Autónoma de Bs.As.,Vélez Sarsfield,0004,1963.00,7452.00,13778.00,16625.00,13229.00,0.56,0.15,0.83,7493.00,9894.08,10010004,0.148386,0.563308,0.828752
010010005,01,001,0005,Ciudad Autónoma de Bs.As.,Vélez Sarsfield,0005,994.00,4192.00,7724.00,9300.00,7335.00,0.57,0.14,0.83,7100.75,9436.08,10010005,0.135515,0.571506,0.830538
010010006,01,001,0006,Ciudad Autónoma de Bs.As.,Vélez Sarsfield,0006,1425.00,5617.00,10633.00,12696.00,10157.00,0.55,0.14,0.84,7037.00,8990.33,10010006,0.140297,0.553018,0.837508
010010007,01,001,0007,Ciudad Autónoma de Bs.As.,Vélez Sarsfield,0007,2090.00,7725.00,16177.00,19414.00,15436.00,0.50,0.14,0.83,8459.50,7454.58,10010007,0.135398,0.500453,0.833265
010210008,01,021,0008,Ciudad Autónoma de Bs.As.,San Vicente de Paúl,0008,7146.00,25872.00,55477.00,65902.00,53242.00,0.49,0.13,0.84,7241.25,6915.58,10210008,0.134217,0.485932,0.841811
010210009,01,021,0009,Ciudad Autónoma de Bs.As.,San Vicente de Paúl,0009,5636.00,20591.00,40256.00,47540.00,38460.00,0.54,0.15,0.85,4492.50,7811.08,10210009,0.146542,0.535387,0.846782
010220010,01,022,0010,Ciudad Autónoma de Bs.As.,Villa Lugano,0010,11552.00,39935.00,102522.00,123658.00,97936.00,0.41,0.12,0.83,8869.75,4164.83,10220010,0.117955,0.407766,0.829077
010230011,01,023,0011,Ciudad Autónoma de Bs.As.,Cristo Obrero,0011,2747.00,10847.00,23632.00,28932.00,22489.00,0.48,0.12,0.82,11654.00,8759.08,10230011,0.122149,0.482325,0.816812
010230012,01,023,0012,Ciudad Autónoma de Bs.As.,Cristo Obrero,0012,3295.00,11978.00,25165.00,30432.00,23798.00,0.50,0.14,0.83,12933.75,9288.58,10230012,0.138457,0.503320,0.826926
010230013,01,023,0013,Ciudad Autónoma de Bs.As.,Cristo Obrero,0013,3042.00,11957.00,27386.00,33994.00,26278.00,0.46,0.12,0.81,12191.50,7679.83,10230013,0.115762,0.455019,0.805613
010020014,01,002,0014,Ciudad Autónoma de Bs.As.,San Cristóbal Sud,0014,1386.00,5986.00,12836.00,15542.00,12290.00,0.49,0.11,0.83,15425.25,8126.58,10020014,0.112775,0.487063,0.825891
010020015,01,002,0015,Ciudad Autónoma de Bs.As.,San Cristóbal Sud,0015,479.00,1862.00,6267.00,8448.00,5962.00,0.31,0.08,0.74,15957.50,7414.33,10020015,0.080342,0.312311,0.741832
010020016,01,002,0016,Ciudad Autónoma de Bs.As.,San Cristóbal Sud,0016,533.00,2326.00,4733.00,5917.00,4556.00,0.51,0.12,0.80,15866.75,9170.08,10020016,0.116989,0.510536,0.799899
010020017,01,002,0017,Ciudad Autónoma de Bs.As.,San Cristóbal Sud,0017,638.00,2276.00,4845.00,5737.00,4645.00,0.49,0.14,0.84,14557.00,8703.58,10020017,0.137352,0.489989,0.844518
010020018,01,002,0018,Ciudad Autónoma de Bs.As.,San Cristóbal Sud,0018,760.00,3431.00,6758.00,8330.00,6492.00,0.53,0.12,0.81,14513.75,9607.58,10020018,0.117067,0.528497,0.811285
010020019,01,002,0019,Ciudad Autónoma de Bs.As.,San Cristóbal Sud,0019,1072.00,4592.00,8912.00,10777.00,8556.00,0.54,0.13,0.83,15050.75,9888.58,10020019,0.125292,0.536699,0.826946
010020020,01,002,0020,Ciudad Autónoma de Bs.As.,San Cristóbal Sud,0020,741.00,2885.00,6018.00,7883.00,5766.00,0.50,0.13,0.76,15773.75,9845.83,10020020,0.128512,0.500347,0.763415
010030021,01,003,0021,Ciudad Autónoma de Bs.As.,Santa Lucía,0021,957.00,3977.00,8136.00,10668.00,7839.00,0.51,0.12,0.76,17118.75,9843.08,10030021,0.122082,0.507335,0.762655
010030022,01,003,0022,Ciudad Autónoma de Bs.As.,Santa Lucía,0022,310.00,1523.00,3068.00,4654.00,2962.00,0.51,0.10,0.66,16793.75,9384.08,10030022,0.104659,0.514180,0.659218
010030023,01,003,0023,Ciudad Autónoma de Bs.As.,Santa Lucía,0023,642.00,2891.00,5646.00,6809.00,5382.00,0.54,0.12,0.83,17193.50,7628.33,10030023,0.119287,0.537161,0.829197
010030024,01,003,0024,Ciudad Autónoma de Bs.As.,Santa Lucía,0024,473.00,2126.00,4492.00,5742.00,4300.00,0.49,0.11,0.78,18252.00,8123.33,10030024,0.110000,0.494419,0.782306
010030025,01,003,0025,Ciudad Autónoma de Bs.As.,Santa Lucía,0025,1135.00,3964.00,7891.00,9742.00,7479.00,0.53,0.15,0.81,18086.75,8773.83,10030025,0.151758,0.530017,0.809998
010030026,01,003,0026,Ciudad Autónoma de Bs.As.,Santa Lucía,0026,1328.00,4936.00,10452.00,13535.00,9964.00,0.50,0.13,0.77,18527.50,10012.08,10030026,0.133280,0.495383,0.772220
010030027,01,003,0027,Ciudad Autónoma de Bs.As.,Santa Lucía,0027,1381.00,5273.00,9524.00,11246.00,9090.00,0.58,0.15,0.85,18337.75,9243.58,10030027,0.151925,0.580088,0.846879
010040028,01,004,0028,Ciudad Autónoma de Bs.As.,San Juan Evangelista,0028,713.00,2444.00,4664.00,5636.00,4465.00,0.55,0.16,0.83,18484.25,8800.83,10040028,0.159686,0.547368,0.827537
010040029,01,004,0029,Ciudad Autónoma de Bs.As.,San Juan Evangelista,0029,424.00,1747.00,3400.00,4144.00,3246.00,0.54,0.13,0.82,18472.25,8097.33,10040029,0.130622,0.538201,0.820463
010040030,01,004,0030,Ciudad Autónoma de Bs.As.,San Juan Evangelista,0030,433.00,1533.00,3730.00,4721.00,3573.00,0.43,0.12,0.79,19570.25,8175.33,10040030,0.121187,0.429051,0.790087
010040031,01,004,0031,Ciudad Autónoma de Bs.As.,San Juan Evangelista,0031,1094.00,4813.00,10765.00,13481.00,10289.00,0.47,0.11,0.80,19328.25,8759.58,10040031,0.106327,0.467781,0.798531
010040032,01,004,0032,Ciudad Autónoma de Bs.As.,San Juan Evangelista,0032,639.00,2930.00,6647.00,8475.00,6352.00,0.46,0.10,0.78,19479.00,9296.33,10040032,0.100598,0.461272,0.784307
010040033,01,004,0033,Ciudad Autónoma de Bs.As.,San Juan Evangelista,0033,1044.00,4051.00,8207.00,9815.00,7838.00,0.52,0.13,0.84,19402.00,9878.08,10040033,0.133197,0.516841,0.836169
010050034,01,005,0034,Ciudad Autónoma de Bs.As.,Flores,0034,1124.00,4120.00,8039.00,9704.00,7708.00,0.53,0.15,0.83,9916.00,8564.08,10050034,0.145823,0.534510,0.828421
010050035,01,005,0035,Ciudad Autónoma de Bs.As.,Flores,0035,1060.00,4276.00,7790.00,9644.00,7497.00,0.57,0.14,0.81,9666.75,9698.58,10050035,0.141390,0.570361,0.807756
010050036,01,005,0036,Ciudad Autónoma de Bs.As.,Flores,0036,977.00,4826.00,8329.00,10492.00,7921.00,0.61,0.12,0.79,9590.75,10322.83,10050036,0.123343,0.609267,0.793843
010050037,01,005,0037,Ciudad Autónoma de Bs.As.,Flores,0037,570.00,2612.00,4501.00,5619.00,4326.00,0.60,0.13,0.80,9387.75,10713.33,10050037,0.131761,0.603791,0.801032
010050038,01,005,0038,Ciudad Autónoma de Bs.As.,Flores,0038,890.00,3389.00,6395.00,7589.00,6131.00,0.55,0.15,0.84,9809.50,10949.58,10050038,0.145164,0.552765,0.842667
010050039,01,005,0039,Ciudad Autónoma de Bs.As.,Flores,0039,1693.00,6461.00,11335.00,13822.00,10824.00,0.60,0.16,0.82,10242.25,10421.83,10050039,0.156412,0.596914,0.820069
010050040,01,005,0040,Ciudad Autónoma de Bs.As.,Flores,0040,1693.00,5457.00,10348.00,12581.00,9881.00,0.55,0.17,0.82,10503.00,10071.83,10050040,0.171339,0.552272,0.822510
010050041,01,005,0041,Ciudad Autónoma de Bs.As.,Flores,0041,1107.00,3813.00,7056.00,8429.00,6760.00,0.56,0.16,0.84,10845.75,9153.83,10050041,0.163757,0.564053,0.837110
010050042,01,005,0042,Ciudad Autónoma de Bs.As.,Flores,0042,897.00,2710.00,5248.00,6409.00,5000.00,0.54,0.18,0.82,11379.75,9468.58,10050042,0.179400,0.542000,0.818848
010050043,01,005,0043,Ciudad Autónoma de Bs.As.,Flores,0043,1438.00,4691.00,8535.00,10204.00,8116.00,0.58,0.18,0.84,10720.25,9996.08,10050043,0.177181,0.577994,0.836437
010050044,01,005,0044,Ciudad Autónoma de Bs.As.,Flores,0044,791.00,2833.00,5042.00,6165.00,4855.00,0.58,0.16,0.82,10490.50,10589.83,10050044,0.162925,0.583522,0.817843
010050045,01,005,0045,Ciudad Autónoma de Bs.As.,Flores,0045,962.00,3390.00,6163.00,7420.00,5938.00,0.57,0.16,0.83,10191.50,11303.83,10050045,0.162007,0.570899,0.830593
010050046,01,005,0046,Ciudad Autónoma de Bs.As.,Flores,0046,1251.00,4715.00,8835.00,10643.00,8375.00,0.56,0.15,0.83,11409.75,11936.08,10050046,0.149373,0.562985,0.830123
010050047,01,005,0047,Ciudad Autónoma de Bs.As.,Flores,0047,762.00,2573.00,4657.00,5542.00,4452.00,0.58,0.17,0.84,11331.25,11273.58,10050047,0.171159,0.577942,0.840310
010050048,01,005,0048,Ciudad Autónoma de Bs.As.,Flores,0048,1989.00,5977.00,11076.00,13215.00,10504.00,0.57,0.19,0.84,11169.50,10394.58,10050048,0.189356,0.569021,0.838138
010050049,01,005,0049,Ciudad Autónoma de Bs.As.,Flores,0049,590.00,1997.00,3730.00,4298.00,3539.00,0.56,0.17,0.87,11843.00,9397.58,10050049,0.166714,0.564284,0.867846
010060050,01,006,0050,Ciudad Autónoma de Bs.As.,San Carlos Sud,0050,1277.00,4531.00,8532.00,9990.00,8147.00,0.56,0.16,0.85,11939.00,10123.83,10060050,0.156745,0.556156,0.854054
010060051,01,006,0051,Ciudad Autónoma de Bs.As.,San Carlos Sud,0051,1491.00,4881.00,9267.00,11095.00,8761.00,0.56,0.17,0.84,13179.75,10415.08,10060051,0.170186,0.557128,0.835241
010060052,01,006,0052,Ciudad Autónoma de Bs.As.,San Carlos Sud,0052,656.00,2649.00,5590.00,6679.00,5341.00,0.50,0.12,0.84,13821.75,9946.08,10060052,0.122823,0.495975,0.836952
010060053,01,006,0053,Ciudad Autónoma de Bs.As.,San Carlos Sud,0053,677.00,2366.00,4702.00,6016.00,4486.00,0.53,0.15,0.78,14078.50,9915.08,10060053,0.150914,0.527419,0.781582
010060054,01,006,0054,Ciudad Autónoma de Bs.As.,San Carlos Sud,0054,936.00,3660.00,7165.00,8678.00,6842.00,0.53,0.14,0.83,14167.50,10845.83,10060054,0.136802,0.534931,0.825651
010060055,01,006,0055,Ciudad Autónoma de Bs.As.,San Carlos Sud,0055,1093.00,3588.00,6891.00,8457.00,6572.00,0.55,0.17,0.81,13307.00,10835.58,10060055,0.166312,0.545953,0.814828
010060056,01,006,0056,Ciudad Autónoma de Bs.As.,San Carlos Sud,0056,4016.00,11640.00,21149.00,25236.00,20238.00,0.58,0.20,0.84,13047.75,11484.33,10060056,0.198439,0.575156,0.838049
010060057,01,006,0057,Ciudad Autónoma de Bs.As.,San Carlos Sud,0057,2156.00,6797.00,12569.00,15144.00,11980.00,0.57,0.18,0.83,12390.75,10725.83,10060057,0.179967,0.567362,0.829966
010060058,01,006,0058,Ciudad Autónoma de Bs.As.,San Carlos Sud,0058,1638.00,6037.00,11206.00,13717.00,10695.00,0.56,0.15,0.82,13864.75,11743.08,10060058,0.153156,0.564469,0.816942
010070059,01,007,0059,Ciudad Autónoma de Bs.As.,San Carlos Norte,0059,1922.00,7033.00,13088.00,16278.00,12507.00,0.56,0.15,0.80,13134.25,11876.83,10070059,0.153674,0.562325,0.804030
010070060,01,007,0060,Ciudad Autónoma de Bs.As.,San Carlos Norte,0060,1944.00,5977.00,11283.00,14012.00,10797.00,0.55,0.18,0.81,12915.00,11529.08,10070060,0.180050,0.553580,0.805238
010070061,01,007,0061,Ciudad Autónoma de Bs.As.,San Carlos Norte,0061,2276.00,8044.00,14352.00,17451.00,13737.00,0.59,0.17,0.82,12208.25,11313.08,10070061,0.165684,0.585572,0.822417
010070062,01,007,0062,Ciudad Autónoma de Bs.As.,San Carlos Norte,0062,1456.00,6138.00,10637.00,12804.00,10209.00,0.60,0.14,0.83,11939.25,11767.58,10070062,0.142619,0.601234,0.830756
010070063,01,007,0063,Ciudad Autónoma de Bs.As.,San Carlos Norte,0063,1119.00,4565.00,8377.00,9834.00,7717.00,0.59,0.15,0.85,12397.00,12724.08,10070063,0.145005,0.591551,0.851841
010070064,01,007,0064,Ciudad Autónoma de Bs.As.,San Carlos Norte,0064,1399.00,7135.00,12083.00,14825.00,11632.00,0.61,0.12,0.82,13293.50,12763.83,10070064,0.120272,0.613394,0.815042
010070065,01,007,0065,Ciudad Autónoma de Bs.As.,San Carlos Norte,0065,1069.00,4948.00,8447.00,10517.00,8139.00,0.61,0.13,0.80,13850.50,12684.08,10070065,0.131343,0.607937,0.803176
010070066,01,007,0066,Ciudad Autónoma de Bs.As.,San Carlos Norte,0066,1080.00,4781.00,8486.00,10454.00,8132.00,0.59,0.13,0.81,13669.25,13466.83,10070066,0.132809,0.587924,0.811747
010070067,01,007,0067,Ciudad Autónoma de Bs.As.,San Carlos Norte,0067,760.00,3693.00,6389.00,7997.00,6164.00,0.60,0.12,0.80,12950.25,13020.33,10070067,0.123297,0.599124,0.798925
010080068,01,008,0068,Ciudad Autónoma de Bs.As.,San Cristóbal Norte,0068,206.00,1063.00,1972.00,2492.00,1914.00,0.56,0.11,0.79,14406.00,10167.83,10080068,0.107628,0.555381,0.791332
010080069,01,008,0069,Ciudad Autónoma de Bs.As.,San Cristóbal Norte,0069,261.00,1168.00,2274.00,2790.00,2178.00,0.54,0.12,0.82,14722.50,10258.08,10080069,0.119835,0.536272,0.815054
010080070,01,008,0070,Ciudad Autónoma de Bs.As.,San Cristóbal Norte,0070,361.00,1140.00,2391.00,2921.00,2272.00,0.50,0.16,0.82,14927.50,10430.58,10080070,0.158891,0.501761,0.818555
010080071,01,008,0071,Ciudad Autónoma de Bs.As.,San Cristóbal Norte,0071,372.00,1531.00,3077.00,3750.00,2962.00,0.52,0.13,0.82,15460.75,10353.08,10080071,0.125591,0.516880,0.820533
010080072,01,008,0072,Ciudad Autónoma de Bs.As.,San Cristóbal Norte,0072,274.00,685.00,1624.00,2020.00,1544.00,0.44,0.18,0.80,15733.75,10550.83,10080072,0.177461,0.443653,0.803960
010080073,01,008,0073,Ciudad Autónoma de Bs.As.,San Cristóbal Norte,0073,200.00,766.00,1566.00,1964.00,1503.00,0.51,0.13,0.80,16032.25,10441.33,10080073,0.133067,0.509647,0.797352
010080074,01,008,0074,Ciudad Autónoma de Bs.As.,San Cristóbal Norte,0074,256.00,1162.00,2198.00,2717.00,2090.00,0.56,0.12,0.81,16227.00,10391.83,10080074,0.122488,0.555981,0.808980
010080075,01,008,0075,Ciudad Autónoma de Bs.As.,San Cristóbal Norte,0075,446.00,1797.00,3704.00,4684.00,3546.00,0.51,0.13,0.79,16530.25,10490.83,10080075,0.125776,0.506768,0.790777
010080076,01,008,0076,Ciudad Autónoma de Bs.As.,San Cristóbal Norte,0076,698.00,2455.00,4988.00,6304.00,4784.00,0.51,0.15,0.79,16388.50,11128.08,10080076,0.145903,0.513169,0.791244
010080077,01,008,0077,Ciudad Autónoma de Bs.As.,San Cristóbal Norte,0077,397.00,1443.00,2860.00,3578.00,2726.00,0.53,0.15,0.80,15980.50,11101.33,10080077,0.145635,0.529347,0.799329
010080078,01,008,0078,Ciudad Autónoma de Bs.As.,San Cristóbal Norte,0078,343.00,1330.00,2636.00,3259.00,2527.00,0.53,0.14,0.81,15974.50,10716.83,10080078,0.135734,0.526316,0.808837
010080079,01,008,0079,Ciudad Autónoma de Bs.As.,San Cristóbal Norte,0079,410.00,1685.00,3379.00,4163.00,3232.00,0.52,0.13,0.81,15664.50,10964.58,10080079,0.126856,0.521349,0.811674
010080080,01,008,0080,Ciudad Autónoma de Bs.As.,San Cristóbal Norte,0080,327.00,1210.00,2631.00,3329.00,2487.00,0.49,0.13,0.79,15291.75,11056.08,10080080,0.131484,0.486530,0.790327
010080081,01,008,0081,Ciudad Autónoma de Bs.As.,San Cristóbal Norte,0081,348.00,910.00,2048.00,2540.00,1937.00,0.47,0.18,0.81,15111.00,10847.83,10080081,0.179659,0.469799,0.806299
010080082,01,008,0082,Ciudad Autónoma de Bs.As.,San Cristóbal Norte,0082,262.00,1008.00,1990.00,2400.00,1906.00,0.53,0.14,0.83,14768.50,10606.83,10080082,0.137461,0.528856,0.829167
