FIPS,MSA,TOT_POP,POP_16,POP_65,WHITE_,BLACK_,ASIAN_,HISP_,MULTI_RA,MALES,FEMALES,MALE1664,FEM1664,EMPL16,EMP_AWAY,EMP_HOME,EMP_29,EMP_30,EMP16_2,EMP_MALE,EMP_FEM,OCC_MAN,OCC_OFF1,OCC_INFO,HH_INC,POV_POP,POV_TOT,HSG_VAL,POLYID
45015020200,Charlesto,7665,2083,983,2101,5427,30,54,38,3571,4094,2131,2468,2457,2427,30,1177,1250,2479,1177,1302,561,306,4,24612,7520,1908,52300,0
45015020100,Charlesto,7291,1501,739,2899,4259,24,26,62,4117,3174,2983,2068,2393,2382,11,875,1507,2461,1171,1290,269,227,0,28615,6111,1588,62700,1
45015020300,Charlesto,8481,2027,1110,6120,2204,10,66,49,4161,4320,2596,2748,3288,3218,70,1592,1626,3379,1860,1519,559,391,48,36319,8460,1148,63700,2
45035010300,Charlesto,5503,1293,729,2853,2528,35,28,43,2639,2864,1708,1773,2189,2150,39,1048,1102,2206,1180,1026,328,172,5,29971,5501,945,57300,3
45015020401,Charlesto,3820,877,447,2211,1541,0,5,33,1861,1959,1234,1262,1546,1522,24,451,1071,1585,880,705,234,150,0,29951,3804,648,49000,4
45015020501,Charlesto,8762,2036,1044,5211,3294,19,68,129,4331,4431,2871,2811,3478,3414,64,2009,1405,3517,1905,1612,428,587,71,36292,8404,1100,73800,5
45035010200,Charlesto,5062,1080,829,2143,2828,0,32,59,2377,2685,1490,1663,1887,1818,69,1061,757,1899,1031,868,243,207,11,28958,4822,832,57500,6
45035010100,Charlesto,2531,589,364,1364,1144,0,23,0,1233,1298,775,803,1034,1025,9,535,490,1064,569,495,122,90,0,27014,2525,421,52100,7
45019005000,Charlesto,5091,1197,660,1771,3215,12,49,39,2471,2620,1561,1673,1967,1906,61,729,1177,2000,984,1016,149,226,4,31192,5070,859,78100,8
45015020502,Charlesto,6128,1789,614,3380,2166,128,309,111,2843,3285,1644,2081,2658,2622,36,1529,1093,2698,1319,1379,291,416,35,33781,6001,969,84600,9
45015020701,Charlesto,8444,2003,748,6846,1276,57,120,62,4250,4194,2855,2838,3847,3804,43,1815,1989,3814,2123,1691,423,550,15,39621,8376,1062,79200,10
45015020600,Charlesto,2724,542,325,2208,430,20,8,31,1370,1354,941,916,1266,1263,3,539,724,1283,710,573,165,235,5,41755,2711,134,101900,11
45035010400,Charlesto,5632,1076,547,2654,2495,0,169,134,3284,2348,2526,1483,1719,1670,49,636,1034,1768,948,820,333,223,11,35583,4476,550,57400,12
45015020707,Charlesto,5117,1296,379,3558,1088,125,166,137,2555,2562,1699,1743,2448,2437,11,1272,1165,2348,1228,1120,182,311,22,42944,5058,480,95800,13
45015020402,Charlesto,4630,1237,315,1783,2695,38,108,6,2273,2357,1474,1604,2090,2056,34,1040,1016,2094,1078,1016,157,337,21,43164,4615,495,114100,14
45035010501,Charlesto,1566,308,161,1136,347,0,60,12,801,765,552,545,695,661,34,210,451,728,411,317,85,107,0,40066,1554,100,59100,15
45035010601,Charlesto,5714,1486,427,4651,897,42,14,18,2775,2939,1792,2009,2649,2621,28,1426,1195,2698,1487,1211,282,485,11,50353,5699,484,106000,16
45015020703,Charlesto,8966,2371,0,6638,1146,175,625,266,5735,3231,4513,2082,5185,5122,63,4626,496,1135,341,794,44,188,0,32927,6122,472,24700,17
45015020709,Charlesto,10172,2692,457,7892,1490,202,354,139,5080,5092,3428,3595,5023,4967,56,2917,2050,4926,2585,2341,609,718,29,44016,10021,762,79200,18
45035010700,Charlesto,5580,1212,949,2969,2359,24,127,90,2429,3151,1525,1894,2267,2247,20,1331,916,2310,1113,1197,320,323,10,29382,5329,902,68300,19
45015020708,Charlesto,8196,2251,338,6333,1430,104,220,63,4061,4135,2732,2875,4134,4062,72,2190,1872,4111,2186,1925,366,614,82,48289,8165,574,83300,20
45015020803,Charlesto,4938,1423,278,3282,1255,92,137,118,2353,2585,1536,1701,2288,2242,46,1196,1046,2346,1190,1156,308,256,37,38618,4928,620,60900,21
45035010502,Charlesto,12168,3312,1018,9785,1702,199,280,151,5944,6224,3809,4029,5623,5547,76,2659,2888,5621,3033,2588,415,1160,30,44119,12087,1023,102200,22
45019003106,Charlesto,4115,1206,293,2044,1680,56,151,148,2075,2040,1240,1376,1854,1817,37,1080,737,1877,929,948,181,228,15,30933,4094,811,55200,23
45015020706,Charlesto,8070,1992,585,6817,636,261,161,127,3996,4074,2691,2802,4164,4118,46,2611,1507,4087,2195,1892,293,1142,176,54095,7996,435,113800,24
45015020705,Charlesto,9873,2921,438,7853,1092,238,337,257,4792,5081,3113,3401,5037,4987,50,2923,2064,4976,2623,2353,399,922,94,50458,9847,579,95200,25
45035010602,Charlesto,8101,2097,689,6315,1460,31,111,100,3861,4240,2487,2828,3751,3674,77,1854,1820,3767,1935,1832,266,710,26,40518,8075,888,89700,26
45035010809,Charlesto,2988,827,201,2535,392,13,25,13,1406,1582,944,1016,1496,1465,31,830,635,1461,710,751,91,298,33,53721,2988,242,107100,27
45015020802,Charlesto,6327,1662,498,3982,1756,337,157,67,3015,3312,1977,2190,2619,2600,19,1624,976,2640,1390,1250,306,256,7,42770,6282,1041,62800,28
45035010808,Charlesto,6722,1568,706,5826,602,219,26,49,3197,3525,2135,2313,3582,3516,66,1749,1767,3524,1807,1717,303,995,119,49573,6674,299,111600,29
45019003112,Charlesto,10033,1974,1009,6799,2611,206,210,139,4635,5398,3308,3742,5071,5038,33,4045,993,4792,2275,2517,345,780,56,36625,8939,1641,92400,30
45035010810,Charlesto,9524,2527,817,7173,1707,87,278,185,4575,4949,2979,3201,4640,4461,179,2485,1976,4545,2403,2142,352,925,69,45431,9321,626,94400,31
45019003107,Charlesto,3940,1051,283,1567,2087,54,189,32,1987,1953,1277,1329,1895,1880,15,1279,601,1929,1005,924,184,224,28,35536,3924,590,67800,32
45019003113,Charlesto,2539,837,120,1256,1001,17,207,32,1319,1220,720,862,1164,1155,9,896,259,1146,567,579,118,201,20,38750,2497,685,81400,33
45015020804,Charlesto,1971,482,231,1201,478,138,30,117,942,1029,631,627,970,962,8,562,400,960,535,425,121,197,0,40268,1961,223,65100,34
45015020805,Charlesto,8253,1918,263,4706,2066,546,523,223,4437,3816,3296,2776,4557,4462,95,3057,1405,4178,2246,1932,380,448,26,38260,8194,942,88900,35
45015020902,Charlesto,6397,1159,816,5368,500,168,206,100,3200,3197,2295,2127,3675,3619,56,3038,581,3496,1878,1618,195,843,47,47907,6390,274,122500,36
45035010807,Charlesto,4826,1381,335,4158,505,46,91,26,2498,2328,1542,1568,2374,2313,61,1266,1047,2342,1270,1072,144,585,25,59602,4826,161,150900,37
45035010801,Charlesto,2519,804,130,1630,791,35,25,16,1207,1312,740,845,1078,1049,29,359,690,1077,586,491,112,228,17,45086,2496,389,97500,38
