ZIP,PO_NAME,STATE,POP2001,MSA,EST98,EMP98,EFLAG98,PAY98,EST01,EMP01,EFLAG01,PAY01,CBSA_CODE,MAN98,MAN98_12,MAN98_39,MAN01,MAN01_12,MAN01_39,MAN98US,MAN98US12,MAN98US39,MAN01US,MANUS01_12,MANUS01_39,OFF98,OFF98_12,OFF98_39,OFF01,OFF01_12,OFF01_39,OFF98US,OFF98US12,OFF98US39,OFF01US,OFFUS01_12,OFFUS01_39,INFO98,INFO98_12,INFO98_39,INFO01,INFO01_12,INFO01_39,INFO98US,INFO98US12,INFO98US39,INFO01US,INFOUS01_1,INFOUS01_3,PO_NAME0,STATE_0,MSA_0,CBSA_CODE0,INDEX,NUMSEC,EST98_0,EST01_0,PCTNGE,PCTIME,PCTCSE,PCTGRO,ID
28605,BLOWING ROCK,NC,3501,Hickory,264,1967,,33572,254,2393,,41310,25860,5,5,0,4,4,0,366249,187700,178549,352619,181948,170671,45,43,2,47,43,4,1786327,1432035,354292,1878709,1492857,385852,3,2,1,1,1,0,120552,78486,42066,137293,89935,47358,BLOWING R,NC,Hickory,25860,9,17,264,254,2.21,-0.39,-5.61,-3.79,0
28657,NEWLAND,NC,10774,Hickory,181,1608,,27375,160,1925,,33859,25860,6,3,3,6,3,3,366249,187700,178549,352619,181948,170671,30,25,5,31,27,4,1742649,1410483,332166,1831150,1468265,362885,7,4,3,4,1,3,120552,78486,42066,137293,89935,47358,NEWLAND,NC,Hickory,25860,24,16,181,173,2.21,0.34,-6.97,-4.42,1
28611,COLLETTSVILLE,NC,1043,Hickory,5,21,,398,4,17,,408,25860,0,0,0,0,0,0,366249,187700,178549,352619,181948,170671,0,0,0,0,0,0,1742649,1410483,332166,1831150,1468265,362885,0,0,0,0,0,0,120552,78486,42066,137293,89935,47358,COLLETTSV,NC,Hickory,25860,13,4,5,4,2.21,-1.08,-21.13,-20.00,2
28645,LENOIR,NC,46533,Hickory,993,19961,,459626,994,21978,,530581,25860,119,58,61,96,38,58,366249,187700,178549,352619,181948,170671,182,145,37,186,154,32,1786327,1432035,354292,1878709,1492857,385852,13,12,1,8,2,6,120552,78486,42066,137293,89935,47358,LENOIR,NC,Hickory,25860,20,21,1164,994,2.21,-0.66,-16.16,-14.60,3
28606,BOOMER,NC,1926,Hickory,14,54,,1357,17,101,,2483,25860,2,2,0,2,2,0,366249,187700,178549,352619,181948,170671,0,0,0,0,0,0,1786327,1432035,354292,1878709,1492857,385852,0,0,0,0,0,0,120552,78486,42066,137293,89935,47358,BOOMER,NC,Hickory,25860,10,8,16,17,2.21,-2.67,6.71,6.25,4
28654,MORAVIAN FALLS,NC,3222,Hickory,39,286,,4144,44,256,,3832,25860,1,0,1,1,0,1,366249,187700,178549,352619,181948,170671,7,5,2,6,5,1,1742649,1410483,332166,1831150,1468265,362885,0,0,0,0,0,0,120552,78486,42066,137293,89935,47358,MORAVIAN,NC,Hickory,25860,22,16,43,44,2.21,-0.21,0.32,2.33,5
28681,TAYLORSVILLE,NC,24461,Hickory,445,6375,,130346,444,6661,,145158,25860,59,24,35,69,25,44,366249,187700,178549,352619,181948,170671,61,54,7,65,58,7,1786327,1432035,354292,1878709,1492857,385852,7,6,1,3,1,2,120552,78486,42066,137293,89935,47358,TAYLORSVI,NC,Hickory,25860,28,19,445,474,2.21,-1.09,5.39,6.52,6
28636,HIDDENITE,NC,4970,Hickory,64,1189,,25748,61,1217,,27284,25860,11,5,6,11,3,8,366249,187700,178549,352619,181948,170671,6,6,0,6,6,0,763131,577158,185973,787693,590622,197071,0,0,0,0,0,0,120552,78486,42066,137293,89935,47358,HIDDENITE,NC,Hickory,25860,17,13,65,61,2.21,-1.83,-6.53,-6.15,7
28655,MORGANTON,NC,57735,Hickory,893,18444,,432015,902,19177,,441357,25860,73,20,53,72,26,46,366249,187700,178549,352619,181948,170671,205,175,30,181,152,29,1786327,1432035,354292,1878709,1492857,385852,23,15,8,8,6,2,120552,78486,42066,137293,89935,47358,MORGANTON,NC,Hickory,25860,23,21,929,902,2.21,-0.07,-5.05,-2.91,8
28678,STONY POINT,NC,4409,Hickory,61,607,,14289,56,642,,13945,25860,7,3,4,6,3,3,366249,187700,178549,352619,181948,170671,9,8,1,7,6,1,1742649,1410483,332166,1831150,1468265,362885,2,0,2,1,1,0,120552,78486,42066,137293,89935,47358,STONY POI,NC,Hickory,25860,27,15,61,60,2.21,-0.16,-3.69,-1.64,9
28630,GRANITE FALLS,NC,18444,Hickory,293,4048,,82457,302,3934,,77480,25860,32,9,23,31,9,22,366249,187700,178549,352619,181948,170671,37,34,3,45,41,4,1786327,1432035,354292,1878709,1492857,385852,2,2,0,2,2,0,120552,78486,42066,137293,89935,47358,GRANITE F,NC,Hickory,25860,16,20,293,304,2.21,-1.15,2.70,3.75,10
28638,HUDSON,NC,10147,Hickory,226,4184,,91021,231,3603,,88100,25860,30,11,19,29,9,20,366249,187700,178549,352619,181948,170671,36,30,6,30,22,8,1786327,1432035,354292,1878709,1492857,385852,0,0,0,0,0,0,120552,78486,42066,137293,89935,47358,HUDSON,NC,Hickory,25860,19,17,232,231,2.21,-1.34,-1.30,-0.43,11
28761,NEBO,NC,6740,Hickory,55,542,,9607,56,585,,9916,25860,5,4,1,6,3,3,366249,187700,178549,352619,181948,170671,5,3,2,4,4,0,686846,534296,152550,717227,552231,164996,1,1,0,1,1,0,120552,78486,42066,137293,89935,47358,NEBO,NC,Hickory,25860,31,15,61,56,2.21,-0.20,-10.21,-8.20,12
28601,HICKORY,NC,48815,Hickory,1447,29824,,767487,1432,31254,,901471,25860,148,55,93,138,59,79,366249,187700,178549,352619,181948,170671,325,272,53,355,285,70,1786327,1432035,354292,1878709,1492857,385852,40,26,14,17,12,5,120552,78486,42066,137293,89935,47358,HICKORY,NC,Hickory,25860,7,18,1447,1432,2.21,-0.13,-3.12,-1.04,13
28610,CLAREMONT,NC,8657,Hickory,139,4047,,106049,142,5522,,169358,25860,35,9,26,33,8,25,366249,187700,178549,352619,181948,170671,32,18,14,20,16,4,1786327,1432035,354292,1878709,1492857,385852,2,2,0,3,3,0,120552,78486,42066,137293,89935,47358,CLAREMONT,NC,Hickory,25860,12,18,249,142,2.21,-0.33,-44.85,-42.97,14
28613,CONOVER,NC,21245,Hickory,546,14231,,360107,546,13486,,362341,25860,98,29,69,92,24,68,366249,187700,178549,352619,181948,170671,66,49,17,82,61,21,1786327,1432035,354292,1878709,1492857,385852,2,2,0,1,1,0,120552,78486,42066,137293,89935,47358,CONOVER,NC,Hickory,25860,15,19,546,552,2.21,-1.43,0.32,1.10,15
28612,CONNELLYS SPRINGS,NC,13554,Hickory,85,497,,10387,91,609,,12598,25860,14,10,4,17,8,9,366249,187700,178549,352619,181948,170671,4,4,0,4,4,0,979518,833325,146193,1043457,877643,165814,0,0,0,0,0,0,120552,78486,42066,137293,89935,47358,CONNELLYS,NC,Hickory,25860,14,11,85,99,2.21,-2.39,16.65,16.47,16
