NAME,STATE_NAME,STATE_FIPS,CNTY_FIPS,FIPS,STFIPS,COFIPS,FIPSNO,HR8187,HR8791,HR9195,HC8187,HC8791,HC9195,PO8187,PO8791,PO9195,PE77,PE82,PE87,RDAC80,RDAC85,RDAC90
Cherokee,Texas,48,073,48073,48,73,48073,7.907980,7.325757,9.253667,22,15,19,278200,204757,205324,3.033655,4.281802,4.352885,0.460853,0.660736,0.727508
Anderson,Texas,48,001,48001,48,1,48001,14.465779,10.041757,13.357998,45,24,33,311079,239002,247043,3.954311,2.633763,3.778007,0.548161,0.596329,0.538644
Nacogdoches,Texas,48,347,48347,48,347,48347,11.835287,10.364075,6.853515,42,28,19,354871,270164,277230,3.868018,2.970701,3.685050,0.819501,0.799279,0.709012
San Augustine,Texas,48,405,48405,48,405,48405,4.948454,12.246797,12.570394,3,5,5,60625,40827,39776,3.291492,2.911342,3.010903,1.674813,1.855135,1.936858
Leon,Texas,48,289,48289,48,289,48289,14.367816,9.423442,9.034104,12,6,6,83520,63671,66415,1.137513,1.996711,2.756774,1.439231,0.858531,0.370418
Sabine,Texas,48,403,48403,48,403,48403,6.159627,6.272083,6.041688,4,3,3,64939,47831,49655,3.776854,2.283007,3.267337,0.992004,0.878688,0.736697
Houston,Texas,48,225,48225,48,225,48225,10.993772,14.782103,12.880077,17,16,14,154633,108239,108695,1.466948,3.001959,2.969982,1.891080,1.744182,1.503662
Angelina,Texas,48,005,48005,48,5,48005,11.138970,13.241868,11.739781,53,46,43,475807,347383,366276,2.857548,2.756036,3.316669,-0.242458,0.151097,0.409208
Trinity,Texas,48,455,48455,48,455,48455,5.294927,6.968763,8.427724,4,4,5,75544,57399,59328,3.171355,5.247813,3.661501,1.087388,1.189143,1.180897
Robertson,Texas,48,395,48395,48,395,48395,18.067827,6.426818,9.059847,20,5,7,110694,77799,77264,3.195858,3.307619,2.838532,1.835130,1.640816,1.392960
Newton,Texas,48,351,48351,48,351,48351,17.010419,14.771922,11.609177,16,10,8,94060,67696,68911,2.179784,2.699552,2.694055,0.570523,0.882692,1.101042
Jasper,Texas,48,241,48241,48,241,48241,9.867462,8.292086,7.523086,22,13,12,222955,156776,159509,2.346130,2.741406,3.884940,0.206301,0.378166,0.482549
Polk,Texas,48,373,48373,48,373,48373,13.304881,12.486610,8.856660,26,19,16,195417,152163,180655,2.814291,2.968632,2.665794,0.862323,0.875604,0.826828
