ID,X,Y
1,94,93
2,80,95
3,79,90
4,78,92
5,76,92
6,66,93
7,64,90
79,27,70
8,58,88
9,57,92
10,53,92
11,50,90
12,49,90
13,32,90
14,31,87
15,22,87
16,21,87
17,21,86
18,22,81
19,23,83
20,27,85
21,27,84
22,27,83
23,27,82
24,30,84
25,31,84
26,31,84
27,32,83
28,33,81
29,32,79
30,32,76
31,33,77
32,34,86
33,34,84
34,38,82
35,39,81
36,40,80
37,41,83
38,43,75
39,44,81
40,46,81
41,47,82
42,47,81
43,48,80
44,48,81
45,50,85
46,51,84
47,52,83
48,55,85
49,57,88
50,57,81
51,60,87
52,69,80
53,71,82
54,72,81
55,74,82
56,75,81
57,77,88
58,80,88
59,82,77
60,66,62
61,64,71
62,59,63
63,55,64
64,53,68
65,52,59
66,51,61
67,50,75
68,50,74
69,45,61
70,44,60
71,43,59
72,42,61
73,39,71
74,37,67
75,35,70
76,31,68
77,30,71
78,29,61
80,26,69
81,24,68
82,7,52
83,11,53
84,34,50
85,36,47
86,37,45
87,37,56
88,38,55
89,38,50
90,39,52
91,41,52
92,47,49
93,50,57
94,52,56
95,53,55
96,56,57
97,69,52
98,69,50
99,71,51
100,71,51
101,73,48
102,74,48
103,75,46
104,75,46
105,86,51
106,87,51
107,87,52
108,90,52
109,91,51
110,87,42
111,81,39
112,80,43
113,79,37
114,78,38
115,75,44
116,73,41
117,71,44
118,68,29
119,62,33
120,61,35
121,60,34
122,58,36
123,54,30
124,52,38
125,52,36
126,47,37
127,46,36
128,45,33
129,36,32
130,22,39
131,21,38
132,22,35
133,21,36
134,22,30
135,19,29
136,17,40
137,14,41
138,13,36
139,10,34
140,7,37
141,2,39
142,21,16
143,22,14
144,29,17
145,30,25
146,32,26
147,39,28
148,40,26
149,40,26
150,42,25
151,43,24
152,43,16
153,48,16
154,51,25
155,52,26
156,57,27
157,60,22
158,63,24
159,64,23
160,64,27
161,71,25
162,50,10
163,48,12
164,45,14
165,33,8
166,31,7
167,32,6
168,31,8
