FIPS,MSA,TOT_POP,POP_16,POP_65,WHITE_,BLACK_,ASIAN_,HISP_,MUTLI_RA,MALES,FEMALES,MALE1664,FEM1664,EMPL16,EMP_AWAY,EMP_HOME,EMP_29,EMP_30,EMP16_2,EMP_MALE,EMP_FEM,OCC_MAN,OCC_OFF1,OCC_INFO,HH_INC,POV_POP,POV_TOT,HSG_VAL,POLYID
26037010600,Lansing,2517,696,238,2455,0,6,41,10,1284,1233,817,766,1136,1059,77,515,544,1150,642,508,151,141,17,49000,2511,153,97700,0
26037010702,Lansing,2329,561,336,2245,0,4,71,3,1152,1177,715,717,1045,994,51,609,385,1069,585,484,232,103,10,39968,2321,173,90900,1
26037010701,Lansing,2115,490,230,2072,0,0,31,12,1084,1031,710,685,1084,1046,38,560,486,1111,624,487,172,136,7,53021,2111,70,124800,2
26037010500,Lansing,3497,974,372,3383,5,16,63,15,1806,1691,1119,1032,1666,1572,94,797,775,1682,944,738,217,238,35,54647,3491,126,128600,3
26037010901,Lansing,2790,624,487,2641,0,5,107,16,1422,1368,910,769,1270,1183,87,708,475,1283,741,542,149,199,21,52222,2418,124,118100,4
26037011001,Lansing,3490,898,457,3374,4,0,101,9,1652,1838,1032,1103,1586,1494,92,888,606,1614,882,732,283,135,14,42250,3387,225,96700,5
26037010800,Lansing,7471,1657,1022,7019,15,118,240,72,3617,3854,2340,2452,3731,3567,164,2397,1170,3816,1945,1871,441,631,41,42160,7429,492,99200,6
26037010400,Lansing,4598,1189,521,4461,5,9,91,26,2293,2305,1467,1421,2168,2078,90,1289,789,2210,1251,959,205,472,49,60137,4587,83,140400,7
26037011002,Lansing,3275,840,232,3169,37,0,20,37,1646,1629,1113,1090,1709,1626,83,889,737,1730,906,824,182,285,19,59375,3270,64,135100,8
26037010902,Lansing,4089,1022,411,3881,22,53,63,60,2105,1984,1359,1297,2126,2022,104,1444,578,2155,1155,1000,250,469,52,60117,4048,160,134700,9
26037010102,Lansing,2334,363,586,2147,0,6,119,21,1068,1266,636,749,1122,1069,53,885,184,1122,567,555,103,232,33,36929,2321,131,69900,10
26037011101,Lansing,3813,968,289,3510,5,48,135,104,1881,1932,1290,1266,1983,1884,99,1420,464,2009,1075,934,283,340,82,61023,3808,203,137000,11
26037010300,Lansing,4140,1008,279,3977,11,16,89,39,2114,2026,1450,1403,2167,2072,95,1772,300,2198,1208,990,208,572,69,67034,4127,92,147400,12
26037010101,Lansing,9619,2725,623,9070,98,0,236,95,4845,4774,3136,3135,5177,5044,133,4165,879,5229,2733,2496,289,1600,107,69792,9584,320,153800,13
26037010204,Lansing,1272,322,108,1154,0,34,45,26,622,650,399,443,676,651,25,546,105,676,363,313,67,170,46,54250,1272,53,119900,14
26037010201,Lansing,2109,297,360,1973,12,0,95,15,1095,1014,754,698,1097,1070,27,940,130,1116,644,472,52,248,24,46542,2109,57,106100,15
26037011102,Lansing,3725,908,293,3422,21,43,147,77,1808,1917,1219,1305,1993,1955,38,1441,514,2033,1055,978,192,426,14,50208,3679,137,93600,16
26037010203,Lansing,1570,364,134,1288,25,0,129,50,747,823,535,537,669,639,30,513,126,717,359,358,90,111,38,33421,1565,300,46600,17
26065005900,Lansing,5324,1327,473,5131,24,19,75,55,2639,2685,1785,1739,2632,2532,100,1501,1031,2686,1454,1232,296,495,60,49299,5291,360,123900,18
26065005700,Lansing,4717,1121,435,4501,70,32,54,41,2369,2348,1589,1572,2599,2493,106,1781,712,2646,1452,1194,123,793,50,73898,4690,93,163500,19
26045020700,Lansing,4277,1074,456,4112,0,7,109,40,2155,2122,1406,1341,1985,1869,116,847,1022,2035,1159,876,279,326,44,47878,4250,236,94500,20
26045020500,Lansing,3642,857,374,3446,8,11,92,26,1843,1799,1205,1206,1832,1785,47,1156,629,1851,1006,845,230,327,31,60096,3628,131,119600,21
26045020401,Lansing,6804,1522,888,6546,16,40,130,52,3220,3584,2077,2317,3429,3304,125,2571,733,3472,1804,1668,405,568,96,45047,6764,650,96800,22
26045020402,Lansing,2964,743,248,2836,41,0,63,19,1478,1486,989,984,1545,1499,46,1179,320,1553,827,726,88,375,41,59737,2944,120,128700,23
26065004700,Lansing,2683,457,470,2464,80,25,57,45,1203,1480,843,913,1442,1426,16,1120,306,1463,738,725,64,397,35,40250,2678,215,162200,24
26065004500,Lansing,3546,648,270,2734,282,219,154,92,1706,1840,1244,1384,1929,1914,15,1696,218,1987,966,1021,106,492,63,36392,3540,690,98400,25
26045020301,Lansing,7789,1343,1166,6700,449,179,268,147,3560,4229,2461,2819,4276,4165,111,3507,658,4316,2136,2180,230,1351,156,46108,7660,385,138200,26
26045020101,Lansing,2673,579,397,2265,209,49,48,85,1346,1327,830,867,1362,1323,39,1176,147,1374,733,641,139,387,49,79931,2673,25,173800,27
26065004600,Lansing,3719,822,459,3289,133,154,42,85,1784,1935,1176,1262,1924,1851,73,1544,307,1955,1034,921,87,719,64,80526,3710,105,182400,28
26065003301,Lansing,3215,921,295,1835,688,287,351,22,1618,1597,993,1006,1294,1276,18,1112,164,1319,676,643,195,156,20,29503,3204,718,76900,29
26065003200,Lansing,2339,701,226,1571,225,134,323,86,1226,1113,731,681,931,904,27,760,144,963,540,423,167,118,34,37039,2324,362,59400,30
26065003102,Lansing,3028,578,523,2486,237,64,137,97,1389,1639,820,1107,1580,1555,25,1336,219,1584,728,856,67,489,62,57768,3018,136,123700,31
26065003802,Lansing,4012,370,435,3223,223,335,108,65,1848,2164,1535,1672,2366,2335,31,2192,143,2391,1136,1255,98,705,102,32535,4007,1022,137500,32
26065004800,Lansing,7538,1618,694,6816,129,217,182,117,3455,4083,2398,2828,4161,4009,152,3250,759,4211,2031,2180,147,1157,164,50480,7532,539,130300,33
26065000100,Lansing,2183,559,291,1518,200,0,345,103,1036,1147,672,661,894,876,18,741,135,931,498,433,96,87,0,32863,2176,366,51300,34
26065003302,Lansing,2465,506,396,1847,323,130,116,49,1158,1307,735,828,1246,1183,63,1026,157,1282,634,648,87,397,85,55977,2448,105,103500,35
26065000200,Lansing,1394,438,67,689,256,10,394,23,649,745,390,499,593,572,21,512,60,598,297,301,64,101,17,28681,1394,422,65600,36
26065003801,Lansing,4197,799,389,3120,494,198,148,193,1952,2245,1410,1599,2344,2273,71,2061,212,2436,1176,1260,36,631,81,50017,4197,558,142000,37
26065000900,Lansing,1853,311,201,1384,136,91,207,11,924,929,658,683,971,947,24,793,154,1005,484,521,51,270,21,39704,1844,235,67200,38
26065000300,Lansing,2455,697,143,1291,536,7,420,147,1179,1276,779,836,1008,977,31,774,203,1033,537,496,83,128,7,25609,2451,685,48600,39
26065003901,Lansing,2189,329,538,1786,179,84,59,81,946,1243,583,739,1039,990,49,914,76,1053,527,526,4,391,20,73036,2078,132,228000,40
26065003400,Lansing,2494,519,481,2065,244,20,151,14,1188,1306,691,803,1220,1185,35,1024,161,1238,570,668,128,277,19,45900,2449,138,97000,41
26045020103,Lansing,4321,915,593,3433,393,101,205,163,2025,2296,1340,1473,2133,2094,39,1776,318,2163,1120,1043,127,512,74,51111,4183,350,132000,42
26065000800,Lansing,3661,1172,221,1718,653,51,967,175,1919,1742,1172,1096,1361,1340,21,1092,248,1397,751,646,176,107,15,30977,3617,811,42700,43
26065003902,Lansing,4082,539,650,3566,159,147,98,106,1922,2160,1433,1460,2094,2018,76,1833,185,2153,1145,1008,51,642,64,33859,3912,981,146000,44
26065000700,Lansing,2891,744,122,1504,658,328,319,72,1499,1392,1089,936,1282,1217,65,970,247,1303,762,541,123,186,17,27525,2873,955,57500,45
26065000500,Lansing,1731,492,158,803,661,5,211,36,959,772,587,494,684,654,30,554,100,709,349,360,110,62,7,26344,1716,526,50500,46
26065003101,Lansing,1430,127,221,1112,88,91,96,43,692,738,552,530,908,880,28,800,80,914,444,470,59,275,22,37470,1430,133,103600,47
26065000400,Lansing,3064,750,262,1811,839,0,261,128,1552,1512,1020,1032,1582,1535,47,1314,221,1632,851,781,128,420,59,46615,3044,349,80500,48
26065004000,Lansing,4425,540,483,3983,174,88,98,38,2035,2390,1561,1841,2391,2314,77,2031,283,2429,1108,1321,54,716,98,38750,3734,675,157100,49
26065004100,Lansing,4614,66,127,4247,33,94,79,88,2254,2360,2186,2235,2196,2135,61,1984,151,2305,1090,1215,17,419,67,17470,4079,2790,123600,50
26065001000,Lansing,2222,399,204,1833,169,43,109,32,1053,1169,786,833,1276,1243,33,1099,144,1311,633,678,50,293,49,36451,2183,353,67200,51
26065003500,Lansing,2985,668,245,2246,304,64,307,64,1456,1529,982,1090,1587,1577,10,1410,167,1611,810,801,148,262,34,38688,2923,228,60300,52
26045020104,Lansing,3698,816,350,2897,236,140,206,197,1774,1924,1172,1360,2103,2009,94,1854,155,2161,1043,1118,208,467,85,52099,3698,96,101700,53
26045020102,Lansing,3219,479,439,2267,428,191,202,91,1497,1722,1130,1171,1888,1864,24,1710,154,1899,1000,899,107,548,130,33157,3212,349,143800,54
26065006500,Lansing,3649,768,272,2533,363,76,407,190,1861,1788,1308,1301,1901,1830,71,1588,242,1963,982,981,103,413,84,31467,3576,618,64900,55
26065000600,Lansing,1808,295,114,909,528,29,239,103,908,900,716,683,902,850,52,705,145,933,511,422,46,189,52,27204,1760,480,79000,56
26065001300,Lansing,1397,390,141,607,275,110,264,141,649,748,444,422,450,413,37,279,134,462,257,205,79,30,0,14069,1394,489,33800,57
26065004301,Lansing,5251,545,392,4673,62,234,165,44,2720,2531,2336,1978,3113,3046,67,2604,442,3288,1732,1556,57,808,160,38606,5238,1678,119300,58
26065005002,Lansing,4107,1048,432,3665,89,164,102,75,1978,2129,1291,1336,1984,1840,144,1458,382,2007,1091,916,59,766,66,90376,3905,146,202300,59
26065001400,Lansing,44,0,0,34,0,0,0,0,34,10,34,10,26,26,0,26,0,36,26,10,0,16,8,13500,44,8,0,60
26065004200,Lansing,5440,0,0,4282,540,328,188,59,2380,3060,2380,3060,2366,2279,87,2042,237,2508,1075,1433,42,324,66,13750,29,24,0,61
26065001500,Lansing,2097,596,324,584,1285,20,156,40,984,1113,561,616,663,629,34,567,62,685,283,402,84,101,49,14523,2091,769,61100,62
26065004901,Lansing,6400,1332,688,5354,319,437,197,67,3082,3318,2111,2269,3536,3405,131,2875,530,3590,1826,1764,57,1356,215,60053,6296,556,154400,63
26065001600,Lansing,1221,175,187,330,779,0,53,56,667,554,462,397,661,644,17,536,108,661,374,287,61,145,7,50583,1221,212,89800,64
26065004404,Lansing,3716,14,0,3213,303,54,88,30,1790,1926,1790,1912,1252,1208,44,1064,144,1330,516,814,19,191,52,37321,38,0,0,65
