TOP2,TOP3,TOP4,NXTOP2,NXTOP3,NXTOP4,N2XTOP2,N2XTOP3,N2XTOP4,LONGITUDE,LATITUDE,OBS,YIELD,N,N2,TOPO,BV,BV2,NXBV,BVXT2,BVXT3,BVXT4,BV2XT2,BV2XT3,BV2XT4,SAT,SAT2,NXSAT,SATXT2,SATXT3,SATXT4,SAT2XT2,SAT2XT3,SAT2XT4
0,0,1,0,0,132,0,0,17292,-63.84886365,-33.05113499,1,72.14,131.50,17292.25,4,162.600,26438.7600,21381.9000,0.000,0.000,162.600,0.000,0.000,26438.760,2.21,4.88,290.62,0.00,0.00,2.21,0.00,0.00,4.88
0,0,1,0,0,132,0,0,17292,-63.84879280,-33.05114709,2,73.79,131.50,17292.25,4,170.490,29066.8401,22419.4350,0.000,0.000,170.490,0.000,0.000,29066.840,2.21,4.88,290.62,0.00,0.00,2.21,0.00,0.00,4.88
0,0,1,0,0,132,0,0,17292,-63.84872194,-33.05115919,3,77.25,131.50,17292.25,4,168.390,28355.1921,22143.2850,0.000,0.000,168.390,0.000,0.000,28355.192,2.24,5.02,294.56,0.00,0.00,2.24,0.00,0.00,5.02
0,0,1,0,0,132,0,0,17292,-63.84865109,-33.05117129,4,76.35,131.50,17292.25,4,176.680,31215.8224,23233.4200,0.000,0.000,176.680,0.000,0.000,31215.822,2.24,5.02,294.56,0.00,0.00,2.24,0.00,0.00,5.02
0,0,1,0,0,132,0,0,17292,-63.84858024,-33.05118339,5,75.55,131.50,17292.25,4,171.460,29398.5316,22546.9900,0.000,0.000,171.460,0.000,0.000,29398.532,2.24,5.02,294.56,0.00,0.00,2.24,0.00,0.00,5.02
0,0,1,0,0,132,0,0,17292,-63.84850939,-33.05119549,6,70.24,131.50,17292.25,4,170.560,29090.7136,22428.6400,0.000,0.000,170.560,0.000,0.000,29090.714,2.24,5.02,294.56,0.00,0.00,2.24,0.00,0.00,5.02
0,0,1,0,0,132,0,0,17292,-63.84843854,-33.05120758,7,76.17,131.50,17292.25,4,172.940,29908.2436,22741.6100,0.000,0.000,172.940,0.000,0.000,29908.244,2.19,4.80,287.99,0.00,0.00,2.19,0.00,0.00,4.80
0,0,1,0,0,132,0,0,17292,-63.84836769,-33.05121968,8,69.17,131.50,17292.25,4,171.860,29535.8596,22599.5900,0.000,0.000,171.860,0.000,0.000,29535.860,2.15,4.62,282.72,0.00,0.00,2.15,0.00,0.00,4.62
0,0,1,0,0,132,0,0,17292,-63.84829683,-33.05123178,9,69.77,131.50,17292.25,4,171.880,29542.7344,22602.2200,0.000,0.000,171.880,0.000,0.000,29542.734,2.15,4.62,282.72,0.00,0.00,2.15,0.00,0.00,4.62
0,0,1,0,0,132,0,0,17292,-63.84822598,-33.05124388,10,69.75,131.50,17292.25,4,173.180,29991.3124,22773.1700,0.000,0.000,173.180,0.000,0.000,29991.312,2.15,4.62,282.72,0.00,0.00,2.15,0.00,0.00,4.62
0,0,1,0,0,132,0,0,17292,-63.84815513,-33.05125598,11,71.05,131.50,17292.25,4,173.020,29935.9204,22752.1300,0.000,0.000,173.020,0.000,0.000,29935.920,2.15,4.62,282.72,0.00,0.00,2.15,0.00,0.00,4.62
0,0,1,0,0,132,0,0,17292,-63.84808428,-33.05126808,12,71.91,131.50,17292.25,4,176.740,31237.0276,23241.3100,0.000,0.000,176.740,0.000,0.000,31237.028,2.13,4.54,280.09,0.00,0.00,2.13,0.00,0.00,4.54
0,0,1,0,0,132,0,0,17292,-63.84801343,-33.05128018,13,72.09,131.50,17292.25,4,173.070,29953.2249,22758.7050,0.000,0.000,173.070,0.000,0.000,29953.225,2.13,4.54,280.09,0.00,0.00,2.13,0.00,0.00,4.54
0,0,1,0,0,132,0,0,17292,-63.84794257,-33.05129228,14,67.50,131.50,17292.25,4,174.570,30474.6849,22955.9550,0.000,0.000,174.570,0.000,0.000,30474.685,2.13,4.54,280.09,0.00,0.00,2.13,0.00,0.00,4.54
0,0,1,0,0,132,0,0,17292,-63.84787172,-33.05130438,15,62.67,131.50,17292.25,4,175.420,30772.1764,23067.7300,0.000,0.000,175.420,0.000,0.000,30772.176,2.13,4.54,280.09,0.00,0.00,2.13,0.00,0.00,4.54
0,0,1,0,0,132,0,0,17292,-63.84780087,-33.05131648,16,64.23,131.50,17292.25,4,172.540,29770.0516,22689.0100,0.000,0.000,172.540,0.000,0.000,29770.052,2.11,4.45,277.46,0.00,0.00,2.11,0.00,0.00,4.45
0,0,1,0,0,132,0,0,17292,-63.84773002,-33.05132857,17,65.70,131.50,17292.25,4,178.930,32015.9449,23529.2950,0.000,0.000,178.930,0.000,0.000,32015.945,2.10,4.41,276.15,0.00,0.00,2.10,0.00,0.00,4.41
0,0,1,0,0,132,0,0,17292,-63.84765917,-33.05134067,18,65.71,131.50,17292.25,4,172.150,29635.6225,22637.7250,0.000,0.000,172.150,0.000,0.000,29635.623,2.10,4.41,276.15,0.00,0.00,2.10,0.00,0.00,4.41
0,0,1,0,0,132,0,0,17292,-63.84758831,-33.05135277,19,59.33,131.50,17292.25,4,171.660,29467.1556,22573.2900,0.000,0.000,171.660,0.000,0.000,29467.156,2.10,4.41,276.15,0.00,0.00,2.10,0.00,0.00,4.41
0,0,1,0,0,132,0,0,17292,-63.84751746,-33.05136487,20,57.51,131.50,17292.25,4,171.850,29532.4225,22598.2750,0.000,0.000,171.850,0.000,0.000,29532.423,2.10,4.41,276.15,0.00,0.00,2.10,0.00,0.00,4.41
0,0,1,0,0,132,0,0,17292,-63.84744661,-33.05137697,21,58.85,131.50,17292.25,4,171.600,29446.5600,22565.4000,0.000,0.000,171.600,0.000,0.000,29446.560,2.08,4.33,273.52,0.00,0.00,2.08,0.00,0.00,4.33
0,0,1,0,0,132,0,0,17292,-63.84737576,-33.05138907,22,55.30,131.50,17292.25,4,172.760,29846.0176,22717.9400,0.000,0.000,172.760,0.000,0.000,29846.018,2.08,4.33,273.52,0.00,0.00,2.08,0.00,0.00,4.33
0,0,1,0,0,132,0,0,17292,-63.84730491,-33.05140117,23,55.75,131.50,17292.25,4,175.590,30831.8481,23090.0850,0.000,0.000,175.590,0.000,0.000,30831.848,2.08,4.33,273.52,0.00,0.00,2.08,0.00,0.00,4.33
0,0,1,0,0,132,0,0,17292,-63.84723405,-33.05141327,24,58.61,131.50,17292.25,4,173.190,29994.7761,22774.4850,0.000,0.000,173.190,0.000,0.000,29994.776,2.08,4.33,273.52,0.00,0.00,2.08,0.00,0.00,4.33
0,0,1,0,0,132,0,0,17292,-63.84716320,-33.05142536,25,57.50,131.50,17292.25,4,171.280,29336.8384,22523.3200,0.000,0.000,171.280,0.000,0.000,29336.838,2.11,4.45,277.46,0.00,0.00,2.11,0.00,0.00,4.45
0,0,1,0,0,132,0,0,17292,-63.84709235,-33.05143746,26,62.42,131.50,17292.25,4,171.890,29546.1721,22603.5350,0.000,0.000,171.890,0.000,0.000,29546.172,2.15,4.62,282.72,0.00,0.00,2.15,0.00,0.00,4.62
0,0,1,0,0,132,0,0,17292,-63.84702150,-33.05144956,27,58.53,131.50,17292.25,4,170.500,29070.2500,22420.7500,0.000,0.000,170.500,0.000,0.000,29070.250,2.15,4.62,282.72,0.00,0.00,2.15,0.00,0.00,4.62
0,0,1,0,0,132,0,0,17292,-63.84695065,-33.05146166,28,57.93,131.50,17292.25,4,178.330,31801.5889,23450.3950,0.000,0.000,178.330,0.000,0.000,31801.589,2.15,4.62,282.72,0.00,0.00,2.15,0.00,0.00,4.62
0,0,1,0,0,132,0,0,17292,-63.84687979,-33.05147376,29,59.54,131.50,17292.25,4,182.830,33426.8089,24042.1450,0.000,0.000,182.830,0.000,0.000,33426.809,2.17,4.71,285.36,0.00,0.00,2.17,0.00,0.00,4.71
0,0,1,0,0,132,0,0,17292,-63.84680894,-33.05148586,30,59.51,131.50,17292.25,4,180.200,32472.0400,23696.3000,0.000,0.000,180.200,0.000,0.000,32472.040,2.18,4.75,286.67,0.00,0.00,2.18,0.00,0.00,4.75
0,0,1,0,0,132,0,0,17292,-63.84673809,-33.05149795,31,57.03,131.50,17292.25,4,184.320,33973.8624,24238.0800,0.000,0.000,184.320,0.000,0.000,33973.862,2.18,4.75,286.67,0.00,0.00,2.18,0.00,0.00,4.75
0,0,1,0,0,132,0,0,17292,-63.84666724,-33.05151005,32,57.48,131.50,17292.25,4,188.070,35370.3249,24731.2050,0.000,0.000,188.070,0.000,0.000,35370.325,2.18,4.75,286.67,0.00,0.00,2.18,0.00,0.00,4.75
