ADM1,ADM0,CODDEPT,TP1973,UP1973,RP1973,TP1985,UP1985,RP1985,TP1993,UP1993,RP1993,MALARI98,TP1995,UP1995,RP1995,TP1996,UP1996,RP1996,TP1997,UP1997,RP1997,TP1998,UP1998,RP1998,TP1999,UP1999,RP1999,TP2000,UP2000,RP2000,TP2001,UP2001,RP2001,TP2002,UP2002,RP2002,TP2003,UP2003,RP2003,TP2004,UP2004,RP2004,TP2005,UP2005,RP2005
Amazonas,COLOMBIA,91,15687.0000,5849.0000,2462.0000,39937.0000,20279.0000,19658.0000,56399.0000,20544.0000,35855.0000,1536.0000,60878.0000,22444.0000,38434.0000,62823.0000,23326.0000,39497.0000,64735.0000,24206.0000,40529.0000,66638.0000,25093.0000,41545.0000,68569.0000,25999.0000,42570.0000,70489.0000,26912.0000,43577.0000,72445.0000,27848.0000,44597.0000,74403.0000,28796.0000,45607.0000,76381.0000,29762.0000,46619.0000,78403.0000,30757.0000,47646.0000,80487.0000,31784.0000,48703.0000
Antioquia,COLOMBIA,05,3176695.0000,1996678.0000,1180012.0000,4067663.0000,2687709.0000,1379954.0000,4919619.0000,3439311.0000,1480308.0000,23946.0000,4987824.0000,3523284.0000,1464540.0000,5065232.0000,3593197.0000,1472035.0000,5133439.0000,3663997.0000,1469442.0000,5211843.0000,3735512.0000,1476331.0000,5289860.0000,3807439.0000,1482421.0000,5367221.0000,3879632.0000,1487589.0000,5444134.0000,3952117.0000,1492017.0000,5521056.0000,4025269.0000,1495787.0000,5597894.0000,4098731.0000,1499163.0000,5674169.0000,4172454.0000,1501715.0000,5750057.0000,4246517.0000,1503540.0000
Arauca,COLOMBIA,81,46605.0000,18887.0000,27718.0000,89972.0000,48729.0000,41243.0000,185882.0000,94181.0000,91701.0000,1694.0000,198720.0000,101906.0000,96814.0000,207099.0000,106959.0000,100140.0000,215410.0000,112037.0000,103373.0000,223681.0000,117154.0000,106527.0000,232013.0000,122365.0000,109648.0000,240190.0000,127554.0000,112636.0000,248440.0000,132841.0000,115599.0000,256664.0000,138174.0000,118490.0000,264888.0000,143568.0000,121320.0000,273136.0000,149034.0000,124102.0000,281435.0000,154588.0000,126847.0000
Atlantico,COLOMBIA,08,1028934.0000,954945.0000,73989.0000,1478213.0000,1392480.0000,85733.0000,1837468.0000,1712321.0000,125147.0000,55.0000,1902878.0000,1774795.0000,128083.0000,1946374.0000,1816143.0000,130231.0000,1990465.0000,1858082.0000,132383.0000,2035351.0000,1900805.0000,134546.0000,2081038.0000,1944315.0000,136723.0000,2127567.0000,1988647.0000,138920.0000,2174929.0000,2033795.0000,141134.0000,2223229.0000,2079869.0000,143360.0000,2272170.0000,2126584.0000,145586.0000,2321446.0000,2173654.0000,147792.0000,2370753.0000,2220795.0000,149958.0000
Bogota,COLOMBIA,11,2861913.0000,2845361.0000,16552.0000,4236490.0000,4227706.0000,8784.0000,5484244.0000,5469105.0000,15139.0000,191.0000,5678342.0000,5663125.0000,15217.0000,5815511.0000,5800216.0000,15295.0000,5956995.0000,5941626.0000,15369.0000,6112196.0000,6096732.0000,15464.0000,6276428.0000,6260862.0000,15566.0000,6437842.0000,6422198.0000,15644.0000,6573291.0000,6557581.0000,15710.0000,6712247.0000,6696473.0000,15774.0000,6865997.0000,6850205.0000,15792.0000,7029928.0000,7014111.0000,15817.0000,7185889.0000,7170008.0000,15881.0000
Bolivar,COLOMBIA,13,980606.0000,558619.0000,397898.0000,1288984.0000,852455.0000,436529.0000,1702188.0000,1092578.0000,609610.0000,0.0000,1766388.0000,1162006.0000,604382.0000,1775143.0000,1196149.0000,578994.0000,1811157.0000,1231247.0000,579910.0000,1849901.0000,1266590.0000,583311.0000,1895068.0000,1298802.0000,596266.0000,1940069.0000,1334548.0000,605521.0000,1985383.0000,1370737.0000,614646.0000,2030904.0000,1407276.0000,623628.0000,2076547.0000,1444126.0000,632421.0000,2122223.0000,1481230.0000,640993.0000,2167869.0000,1518528.0000,649341.0000
Boyaca,COLOMBIA,15,1039822.0000,323782.0000,716040.0000,1209739.0000,427359.0000,782380.0000,1315579.0000,531111.0000,784468.0000,698.0000,1312732.0000,541344.0000,771388.0000,1323093.0000,551967.0000,771126.0000,1333677.0000,562773.0000,770904.0000,1344148.0000,573635.0000,770513.0000,1354669.0000,584626.0000,770043.0000,1365110.0000,595677.0000,769433.0000,1375222.0000,606684.0000,768538.0000,1385184.0000,617717.0000,767467.0000,1394952.0000,628770.0000,766182.0000,1404309.0000,639723.0000,764586.0000,1413064.0000,650496.0000,762568.0000
Caldas,COLOMBIA,17,744221.0000,409642.0000,334579.0000,883024.0000,536410.0000,346614.0000,1030062.0000,638174.0000,391888.0000,143.0000,1042284.0000,650502.0000,391782.0000,1055143.0000,660927.0000,394216.0000,1068146.0000,671508.0000,396638.0000,1081288.0000,682229.0000,399059.0000,1094451.0000,693022.0000,401429.0000,1107627.0000,703881.0000,403746.0000,1120692.0000,714726.0000,405966.0000,1133791.0000,725653.0000,408138.0000,1146846.0000,736611.0000,410235.0000,1159779.0000,747545.0000,412234.0000,1172510.0000,758405.0000,414105.0000
Caqueta,COLOMBIA,18,174714.0000,49743.0000,124971.0000,258616.0000,112395.0000,146221.0000,367898.0000,158952.0000,208946.0000,2657.0000,378511.0000,166680.0000,211831.0000,386157.0000,171648.0000,214509.0000,384909.0000,176394.0000,208515.0000,392760.0000,181557.0000,211203.0000,401002.0000,186966.0000,214036.0000,409466.0000,192544.0000,216922.0000,418122.0000,198285.0000,219837.0000,426986.0000,204188.0000,222798.0000,436035.0000,210258.0000,225777.0000,445281.0000,216491.0000,228790.0000,454671.0000,222874.0000,231797.0000
Casanare,COLOMBIA,85,91318.0000,19922.0000,71396.0000,147472.0000,47636.0000,97203.0000,211329.0000,93470.0000,117859.0000,76.0000,245839.0000,110054.0000,135785.0000,253682.0000,114374.0000,139308.0000,261576.0000,118762.0000,142814.0000,269508.0000,123223.0000,146285.0000,277540.0000,127778.0000,149762.0000,285416.0000,132313.0000,153103.0000,293391.0000,136942.0000,156449.0000,301387.0000,141636.0000,159751.0000,309398.0000,146385.0000,163013.0000,317406.0000,151184.0000,166222.0000,325389.0000,156023.0000,169366.0000
