FIPS,MSA,TOT_POP,POP_16,POP_65,WHITE_,BLACK_,ASIAN_,HISP_,MULTI_RA,MALES,FEMALES,MALE1664,FEM1664,EMPL16,EMP_AWAY,EMP_HOME,EMP_29,EMP_30,EMP16_2,EMP_MALE,EMP_FEM,OCC_MAN,OCC_OFF1,OCC_INFO,HH_INC,POV_POP,POV_TOT,HSG_VAL,BLACK1,BLACK_R,PCTBLACK,PCTBLCK,polyid
55131430100,Milwaukee,5068,1248,429,5005,5,6,32,17,2610,2458,1763,1628,2817,2690,127,1852,838,2854,1563,1291,477,456,44,58295,5057,185,157200,5,2201,0.860631,0.000987,1
55089610100,Milwaukee,8003,1812,667,7720,35,36,129,59,3999,4004,2760,2764,4476,4237,239,2930,1307,4544,2386,2158,817,700,96,55124,7160,164,145900,35,26,0.005959,0.004373,2
55131410100,Milwaukee,4393,1026,534,4320,2,19,19,27,2198,2195,1446,1387,2389,2316,73,1636,680,2418,1306,1112,466,352,23,51769,4327,211,129800,2,97,0.030012,0.000455,3
55131400101,Milwaukee,7687,1801,703,7509,6,7,106,57,3943,3744,2652,2531,4296,4137,159,2637,1500,4358,2360,1998,736,896,61,62083,7682,224,162600,6,320,0.141892,0.000781,4
55131420104,Milwaukee,5086,1065,821,4957,64,0,11,0,2485,2601,1598,1602,2701,2632,69,1767,865,2787,1479,1308,423,510,48,51858,5086,160,156000,64,40,0.010384,0.012584,5
55131420102,Milwaukee,7619,1943,534,7253,0,143,103,15,3891,3728,2643,2499,4016,3898,118,2557,1341,4066,2187,1879,815,678,86,51844,7468,296,128800,0,2258,0.868852,0.000000,6
55089630201,Milwaukee,4831,1069,755,4726,0,46,2,41,2359,2472,1514,1493,2628,2553,75,1774,779,2653,1346,1307,341,551,54,61266,4735,125,142800,0,2269,0.873103,0.000000,7
55131400102,Milwaukee,3678,877,237,3601,0,0,47,11,1890,1788,1326,1238,2166,2123,43,1405,718,2181,1188,993,434,374,23,57532,3678,92,132800,0,18,0.004510,0.000000,8
55089620100,Milwaukee,5940,1472,516,5707,55,12,118,41,3069,2871,2015,1937,3470,3386,84,2301,1085,3543,1898,1645,623,647,59,55333,5922,175,146300,55,52,0.014111,0.009259,9
55131420400,Milwaukee,3485,710,689,3327,0,0,104,54,1660,1825,1056,1030,1788,1751,37,1319,432,1821,950,871,310,328,49,36231,3473,318,117200,0,635,0.270423,0.000000,10
