ZIP,PO_NAME,STATE,POP2001,MSA,EST98,EMP98,EFLAG98,PAY98,EST01,EMP01,EFLAG01,PAY01,CBSA_CODE,MAN98,MAN98_12,MAN98_39,MAN01,MAN01_12,MAN01_39,MAN98US,MAN98US12,MAN98US39,MAN01US,MANUS01_12,MANUS01_39,OFF98,OFF98_12,OFF98_39,OFF01,OFF01_12,OFF01_39,OFF98US,OFF98US12,OFF98US39,OFF01US,OFFUS01_12,OFFUS01_39,INFO98,INFO98_12,INFO98_39,INFO01,INFO01_12,INFO01_39,INFO98US,INFO98US12,INFO98US39,INFO01US,INFOUS01_1,INFOUS01_3,INDEX,NUMSEC,EST98_0,EST01_0,PCTNGE,PCTIME,PCTCSE,PCTGRO,ID
32102,ASTOR,FL,2471,Orlando,35,250,,3183,41,376,,5299,36740,2,2,0,2,2,0,366249,187700,178549,352619,181948,170671,11,8,3,4,3,1,1742649,1410483,332166,1831150,1468265,362885,1,1,0,1,0,1,120552,78486,42066,137293,89935,47358,100,13,41,41,2.21,-0.51,-1.70,0.00,0
32702,ALTOONA,FL,2741,Orlando,24,454,,9765,34,300,,7091,36740,1,1,0,1,1,0,366249,187700,178549,352619,181948,170671,13,11,2,11,9,2,1742649,1410483,332166,1831150,1468265,362885,0,0,0,0,0,0,120552,78486,42066,137293,89935,47358,104,13,31,34,2.21,0.44,7.02,9.68,1
32720,DELAND,FL,25638,Orlando,811,11202,,240702,783,11221,,255472,36740,26,18,8,22,13,9,366249,187700,178549,352619,181948,170671,205,175,30,193,152,41,1786327,1432035,354292,1878709,1492857,385852,22,13,9,15,10,5,120552,78486,42066,137293,89935,47358,111,20,827,783,2.21,0.71,-8.24,-5.32,2
32767,PAISLEY,FL,2408,Orlando,13,27,,295,21,66,,821,36740,0,0,0,0,0,0,366249,187700,178549,352619,181948,170671,3,3,0,3,3,0,1330398,1092342,238056,1406122,1140819,265303,0,0,0,0,0,0,120552,78486,42066,137293,89935,47358,123,10,19,21,2.21,-0.88,9.20,10.53,3
32784,UMATILLA,FL,9838,Orlando,135,954,,17738,136,1038,,22475,36740,6,4,2,6,2,4,366249,187700,178549,352619,181948,170671,24,24,0,33,28,5,1742649,1410483,332166,1831150,1468265,362885,6,5,1,3,3,0,120552,78486,42066,137293,89935,47358,129,17,135,138,2.21,1.13,-1.12,2.22,4
32195,WEIRSDALE,FL,3069,Orlando,47,378,,4172,45,437,,3954,36740,2,2,0,2,2,0,366249,187700,178549,352619,181948,170671,12,12,0,12,12,0,1742649,1410483,332166,1831150,1468265,362885,2,2,0,2,2,0,120552,78486,42066,137293,89935,47358,102,16,48,45,2.21,-0.34,-8.12,-6.25,5
32736,EUSTIS,FL,8255,Orlando,75,370,,7536,96,385,,8984,36740,3,2,1,3,2,1,366249,187700,178549,352619,181948,170671,24,21,3,27,26,1,1742649,1410483,332166,1831150,1468265,362885,0,0,0,0,0,0,120552,78486,42066,137293,89935,47358,116,16,77,96,2.21,0.53,21.93,24.68,6
34788,LEESBURG,FL,15955,Orlando,265,3729,,61281,273,3954,,77227,36740,5,4,1,5,2,3,366249,187700,178549,352619,181948,170671,73,62,11,62,54,8,1742649,1410483,332166,1831150,1468265,362885,6,3,3,7,5,2,120552,78486,42066,137293,89935,47358,314,17,277,273,2.21,0.63,-4.28,-1.44,7
32159,LADY LAKE,FL,29647,Orlando,185,1497,,26752,241,2954,,52258,36740,7,4,3,5,4,1,366249,187700,178549,352619,181948,170671,63,50,13,84,69,15,1742649,1410483,332166,1831150,1468265,362885,2,2,0,2,2,0,120552,78486,42066,137293,89935,47358,101,16,254,241,2.21,0.39,-7.72,-5.12,8
32735,GRAND ISLAND,FL,2631,Orlando,10,30,,507,17,35,,678,36740,1,1,0,1,1,0,366249,187700,178549,352619,181948,170671,5,5,0,5,5,0,1330398,1092342,238056,1406122,1140819,265303,1,1,0,1,1,0,120552,78486,42066,137293,89935,47358,115,10,16,17,2.21,0.57,3.47,6.25,9
34731,FRUITLAND PARK,FL,9518,Orlando,149,923,,17564,175,1007,,20717,36740,4,2,2,4,3,1,366249,187700,178549,352619,181948,170671,39,36,3,46,42,4,1786327,1432035,354292,1878709,1492857,385852,1,1,0,1,1,0,120552,78486,42066,137293,89935,47358,291,16,151,175,2.21,-0.47,14.16,15.89,10
32726,EUSTIS,FL,18112,Orlando,455,5635,,121928,466,5143,,134955,36740,18,11,7,15,7,8,366249,187700,178549,352619,181948,170671,155,131,24,119,102,17,1742649,1410483,332166,1831150,1468265,362885,3,1,2,2,1,1,120552,78486,42066,137293,89935,47358,112,18,471,466,2.21,0.50,-3.77,-1.06,11
32771,SANFORD,FL,31072,Orlando,939,14174,,329338,1012,15626,,409487,36740,64,33,31,62,29,33,366249,187700,178549,352619,181948,170671,208,163,45,215,175,40,1786327,1432035,354292,1878709,1492857,385852,28,22,6,15,9,6,120552,78486,42066,137293,89935,47358,124,21,1035,1012,2.21,-0.43,-4.00,-2.22,12
32776,SORRENTO,FL,6854,Orlando,111,765,,17304,131,1014,,22898,36740,2,1,1,2,1,1,366249,187700,178549,352619,181948,170671,29,25,4,35,33,2,1742649,1410483,332166,1831150,1468265,362885,0,0,0,0,0,0,120552,78486,42066,137293,89935,47358,126,15,133,131,2.21,-1.03,-2.68,-1.50,13
34748,LEESBURG,FL,31632,Orlando,911,14123,,331272,831,12772,,346024,36740,20,10,10,19,7,12,366249,187700,178549,352619,181948,170671,235,189,46,231,184,47,1786327,1432035,354292,1878709,1492857,385852,12,10,2,9,2,7,120552,78486,42066,137293,89935,47358,301,19,911,903,2.21,0.16,-3.25,-0.88,14
32757,MOUNT DORA,FL,19235,Orlando,473,4825,,101589,477,5902,,120602,36740,16,9,7,16,10,6,366249,187700,178549,352619,181948,170671,122,108,14,134,114,20,1742649,1410483,332166,1831150,1468265,362885,16,13,3,5,4,1,120552,78486,42066,137293,89935,47358,120,17,473,482,2.21,0.53,-0.84,1.90,15
32778,TAVARES,FL,15172,Orlando,405,3084,,69098,415,3580,,92194,36740,32,22,10,27,18,9,366249,187700,178549,352619,181948,170671,123,101,22,114,100,14,1786327,1432035,354292,1878709,1492857,385852,12,10,2,5,4,1,120552,78486,42066,137293,89935,47358,127,18,477,415,2.21,0.03,-15.24,-13.00,16
32732,GENEVA,FL,4711,Orlando,73,275,,5913,97,429,,10180,36740,4,3,1,4,4,0,366249,187700,178549,352619,181948,170671,24,22,2,26,24,2,1742649,1410483,332166,1831150,1468265,362885,2,2,0,2,2,0,120552,78486,42066,137293,89935,47358,114,14,87,97,2.21,0.02,9.26,11.49,17
32746,LAKE MARY,FL,33489,Orlando,745,16633,,636425,948,23310,,1077689,36740,17,12,5,17,10,7,366249,187700,178549,352619,181948,170671,324,253,71,370,285,85,1786327,1432035,354292,1878709,1492857,385852,68,49,19,51,26,25,120552,78486,42066,137293,89935,47358,117,19,1152,948,2.21,1.12,-21.04,-17.71,18
32779,LONGWOOD,FL,26126,Orlando,789,6896,,213597,775,7133,,232629,36740,13,13,0,12,11,1,366249,187700,178549,352619,181948,170671,364,302,62,367,317,50,1786327,1432035,354292,1878709,1492857,385852,21,16,5,18,15,3,120552,78486,42066,137293,89935,47358,128,18,789,879,2.21,1.47,7.73,11.41,19
32773,SANFORD,FL,24316,Orlando,463,4723,,108667,476,5786,,141802,36740,37,18,19,36,19,17,366249,187700,178549,352619,181948,170671,115,91,24,107,89,18,1786327,1432035,354292,1878709,1492857,385852,4,3,1,3,2,1,120552,78486,42066,137293,89935,47358,125,18,495,476,2.21,-0.47,-5.58,-3.84,20
32712,APOPKA,FL,30115,Orlando,336,1534,,28452,372,1732,,40325,36740,8,8,0,6,4,2,366249,187700,178549,352619,181948,170671,100,94,6,113,105,8,1786327,1432035,354292,1878709,1492857,385852,9,9,0,4,3,1,120552,78486,42066,137293,89935,47358,109,20,370,372,2.21,0.15,-1.82,0.54,21
34797,YALAHA,FL,968,Orlando,13,52,,779,17,55,,986,36740,0,0,0,0,0,0,366249,187700,178549,352619,181948,170671,6,6,0,6,6,0,1742649,1410483,332166,1831150,1468265,362885,0,0,0,0,0,0,120552,78486,42066,137293,89935,47358,315,12,17,17,2.21,1.53,-3.74,0.00,22
34762,OKAHUMPKA,FL,1057,Orlando,20,808,,22665,25,1086,,32635,36740,7,4,3,6,3,3,366249,187700,178549,352619,181948,170671,5,4,1,5,3,2,1038110,838615,199495,1099119,876356,222763,0,0,0,0,0,0,120552,78486,42066,137293,89935,47358,307,9,24,25,2.21,-2.05,4.00,4.17,23
34705,ASTATULA,FL,2098,Orlando,30,384,,9477,29,908,,34541,36740,4,2,2,4,0,4,366249,187700,178549,352619,181948,170671,4,4,0,4,4,0,1038110,838615,199495,1099119,876356,222763,0,0,0,0,0,0,120552,78486,42066,137293,89935,47358,289,11,30,29,2.21,-2.10,-3.44,-3.33,24
32765,OVIEDO,FL,46239,Orlando,753,6516,,138079,945,9877,,227192,36740,22,17,5,24,18,6,366249,187700,178549,352619,181948,170671,277,238,39,294,250,44,1786327,1432035,354292,1878709,1492857,385852,20,16,4,10,8,2,120552,78486,42066,137293,89935,47358,121,20,900,945,2.21,0.33,2.46,5.00,25
34737,HOWEY IN THE HILLS,FL,2021,Orlando,27,593,,10696,29,775,,14810,36740,1,1,0,1,0,1,366249,187700,178549,352619,181948,170671,10,8,2,9,8,1,1330398,1092342,238056,1406122,1140819,265303,0,0,0,0,0,0,120552,78486,42066,137293,89935,47358,294,11,29,29,2.21,-0.47,-1.75,0.00,26
32750,LONGWOOD,FL,24260,Orlando,1409,16636,,441542,1410,16763,,486266,36740,146,92,54,118,77,41,366249,187700,178549,352619,181948,170671,351,288,63,352,286,66,1786327,1432035,354292,1878709,1492857,385852,42,31,11,22,16,6,120552,78486,42066,137293,89935,47358,118,19,1535,1410,2.21,-0.50,-9.85,-8.14,27
34736,GROVELAND,FL,8673,Orlando,124,1480,,36864,136,1928,,54839,36740,5,3,2,4,2,2,366249,187700,178549,352619,181948,170671,31,28,3,32,27,5,1786327,1432035,354292,1878709,1492857,385852,1,0,1,1,1,0,120552,78486,42066,137293,89935,47358,293,19,134,136,2.21,-0.33,-0.39,1.49,28
32798,ZELLWOOD,FL,1758,Orlando,65,736,,17162,61,905,,22456,36740,7,4,3,7,3,4,366249,187700,178549,352619,181948,170671,3,3,0,3,2,1,1038110,838615,199495,1099119,876356,222763,0,0,0,0,0,0,120552,78486,42066,137293,89935,47358,132,14,65,65,2.21,-1.63,-0.58,0.00,29
32703,APOPKA,FL,44880,Orlando,906,13470,,339455,898,14028,,402076,36740,57,28,29,57,31,26,366249,187700,178549,352619,181948,170671,258,208,50,219,176,43,1786327,1432035,354292,1878709,1492857,385852,9,8,1,10,5,5,120552,78486,42066,137293,89935,47358,105,21,946,898,2.21,-0.14,-7.15,-5.07,30
32708,WINTER SPRINGS,FL,41199,Orlando,617,4535,,87269,676,4658,,104444,36740,23,13,10,19,14,5,366249,187700,178549,352619,181948,170671,218,201,17,241,224,17,1786327,1432035,354292,1878709,1492857,385852,7,5,2,8,5,3,120552,78486,42066,137293,89935,47358,107,19,652,676,2.21,0.47,1.00,3.68,31
