30,78
STATION,MONITOR,LAT,LON,X_COORD,Y_COORD,M971,M972,M973,M974,M975,M976,M977,M978,M979,M9710,M9711,M9712,M981,M982,M983,M984,M985,M986,M987,M988,M989,M9810,M9811,M9812,M991,M992,M993,M994,M995,M996,M997,M998,M999,M9910,M9911,M9912,A971,A972,A973,A974,A975,A976,A977,A978,A979,A9710,A9711,A9712,A981,A982,A983,A984,A985,A986,A987,A988,A989,A9810,A9811,A9812,A991,A992,A993,A994,A995,A996,A997,A998,A999,A9910,A9911,A9912
60,70060,34.135833,-117.923611,414841.1516,3777602.226,5,6,9,9,16,12,17,14,15,11,8,5,5,5,10,10,8,16,19,20,15,13,9,5,5,9,7,12,9,13,13,14,12,10,4,4,2.51613,3.00000,3.75000,4.89167,7.05242,5.97083,7.09274,6.91129,5.87917,4.53226,3.12500,2.82661,2.51210,3.04911,3.83871,4.65000,4.23790,3.83750,7.61290,8.20968,5.63750,4.75806,3.12917,2.50403,2.25806,2.60714,2.69355,4.92500,5.41935,6.34583,4.73387,6.41129,4.25417,4.64516,1.44167,1.41129
69,70069,34.176111,-118.315278,378784.2038,3782464.731,4,5,9,8,12,10,14,13,11,10,6,4,4,5,8,9,9,18,18,15,11,10,7,5,5,8,7,12,9,11,13,12,10,9,5,4,1.64919,2.66518,4.13306,4.53333,6.50000,3.43333,6.39113,5.71774,5.20417,4.16129,2.49583,1.97984,2.10484,2.98214,3.95161,4.68750,4.62097,5.26250,6.00000,6.10887,5.41250,4.60887,2.99583,2.79839,2.64516,3.20982,4.29032,5.11250,5.46371,6.00417,6.10484,6.37097,5.18333,4.66935,1.90417,1.29435
72,70072,33.823611,-118.187500,390107.7855,3743232.55,4,6,9,8,10,7,9,10,8,7,7,4,4,5,7,11,7,7,9,12,8,8,6,4,5,7,6,11,8,9,9,9,8,14,5,3,1.94758,2.71875,4.23387,4.25000,5.44355,4.11667,4.25000,4.18548,4.09583,3.60081,2.55000,1.82258,2.20565,2.46429,3.63710,4.47917,3.82661,4.08750,4.49194,4.68145,4.15833,3.74194,2.16667,1.57661,1.99597,2.77232,3.60484,4.55000,4.81048,4.64583,4.25806,4.41532,4.24167,3.77823,1.54583,0.66129
74,70074,34.199444,-118.534722,358597.5668,3785334.902,5,5,8,7,11,10,11,13,10,11,9,5,6,6,7,9,7,11,17,15,9,9,7,5,4,7,7,9,9,11,10,10,9,8,5,3,2.41532,3.03571,4.45161,4.38333,6.37097,5.80833,6.13710,5.91935,5.36667,4.50403,3.02500,2.85081,3.01613,3.79911,4.81452,5.88333,4.21774,5.09583,6.45565,7.23790,4.82917,4.56048,2.70833,2.49194,2.31855,2.92857,3.98790,4.68750,5.53629,6.13750,6.04435,6.04435,5.03750,4.77419,1.79583,1.37903
75,70075,34.066944,-117.751389,430664.5885,3769833.316,4,5,8,9,14,11,16,14,16,11,5,4,4,5,10,10,7,15,19,18,15,13,7,4,4,7,6,12,9,12,15,15,12,10,4,4,1.43145,1.97321,3.58468,4.12500,6.80242,5.18750,6.02419,5.39516,4.73333,3.25403,1.65417,1.47984,1.66129,2.03125,3.24597,4.15417,3.93952,4.98750,7.31855,7.60081,4.95417,3.76210,2.18333,1.56855,1.39113,1.95536,3.00000,4.15000,5.06048,5.71667,5.66532,5.83871,3.38750,3.68145,0.87917,0.76613
84,70084,33.929167,-118.209722,388188.9972,3754961.102,4,5,7,7,8,7,8,9,8,5,5,4,3,4,5,6,5,6,10,8,7,6,4,3,3,4,4,6,5,5,6,6,5,12,3,3,1.65323,2.29911,3.23790,3.70000,4.40726,3.85417,3.77016,3.52419,3.33750,2.15726,1.98750,1.51210,1.77016,1.84375,2.81452,3.38750,2.94758,3.11667,3.58468,3.83065,3.31250,2.81855,1.33333,1.29839,1.29032,1.56696,2.33468,2.65833,3.19355,3.19583,2.75403,2.45161,2.56250,2.27419,0.74583,0.27823
85,70085,34.015000,-118.059722,402152.0708,3764325.383,4,6,8,8,13,11,14,13,14,9,7,4,5,6,9,14,9,13,15,19,13,12,8,5,5,8,7,12,8,10,12,12,10,11,4,4,1.96371,2.41964,4.44758,4.89167,6.81855,5.28750,5.70565,5.90323,5.34583,4.02823,1.76250,1.84274,2.23387,3.09821,4.11694,5.35000,4.81452,5.09167,6.68548,7.31048,5.59583,4.59677,2.93333,2.00806,2.06452,2.79911,4.01210,4.77917,5.23387,5.34583,5.45565,5.49597,4.60417,4.23790,1.04583,0.89919
87,70087,34.067222,-118.226389,386831.6793,3770287.971,4,6,8,9,11,8,11,13,12,7,7,4,5,5,7,12,8,9,15,15,10,8,7,4,5,8,7,13,10,11,10,11,8,11,4,3,1.80645,2.48661,3.97984,4.39167,5.93548,4.35000,4.92339,4.89113,4.67083,3.52419,2.40833,1.70565,1.75806,2.83036,3.69355,4.55417,3.92339,4.61667,6.12500,6.90323,4.99583,4.39516,2.45000,1.80242,2.00806,2.74107,3.92339,5.10417,5.73790,5.79167,5.29839,5.08065,4.37500,3.97984,1.25417,0.56048
88,70088,34.083333,-118.106944,397873.669,3771948.729,4,6,9,9,13,10,14,15,14,9,7,5,5,5,6,11,8,12,18,17,14,11,8,5,4,7,8,11,8,11,12,13,10,11,4,4,2.12097,3.05804,4.52823,4.90833,6.98790,5.36667,6.34274,6.41935,5.80833,4.35887,2.99583,2.33065,2.50000,2.89286,1.56048,4.55833,4.01613,4.90833,7.20161,7.86290,5.10417,4.49194,2.66250,1.99194,2.13710,2.84375,3.80645,4.65417,5.00806,5.70833,5.33468,6.07661,4.69167,4.50806,1.23333,0.95968
89,70089,34.387500,-118.534722,358912.388,3806189.931,6,6,11,9,15,14,16,14,12,13,9,5,6,6,7,9,8,15,19,16,14,10,8,6,5,7,8,9,10,13,12,12,11,9,5,4,3.24597,4.20536,5.63306,5.85417,7.72177,7.27083,8.21774,7.34677,6.08750,5.31452,3.72917,3.37903,3.61694,3.86161,4.31855,5.05833,4.99597,6.42917,4.83871,9.02016,6.70000,5.18548,3.91667,3.23387,3.10484,3.67857,4.59274,5.02083,6.18145,7.14583,7.10484,7.15323,5.95417,4.84677,2.52500,2.43548
