CASEID,NEWID,EVENT_YR,GUN,GANG,DRUG,X_COORD,Y_COORD
94001,94001,94.00000,0.00000,0.00000,0.00000,82365.40530,103673.01636
94002,94002,94.00000,1.00000,1.00000,0.00000,91339.42207,121630.06113
94003,94003,94.00000,1.00000,1.00000,0.00000,102635.56250,120524.23462
94004,94004,94.00000,1.00000,1.00000,0.00000,101247.95078,119129.11816
94005,94005,94.00000,1.00000,0.00000,1.00000,79887.57031,113368.75513
94007,94007,94.00000,0.00000,0.00000,0.00000,102189.34229,116512.66121
94008,94008,94.00000,0.00000,0.00000,0.00000,102189.34229,116512.66121
94009,94009,94.00000,1.00000,1.00000,0.00000,96439.89453,119029.54297
94010,94010,94.00000,1.00000,1.00000,0.00000,100864.20645,120556.44648
94011,94011,94.00000,0.00000,0.00000,0.00000,84377.88770,109301.72129
94012,94012,94.00000,1.00000,1.00000,0.00000,99294.57852,119093.82031
94013,94013,94.00000,1.00000,0.00000,1.00000,50670.13633,115957.66074
94014,94014,94.00000,1.00000,1.00000,0.00000,91663.31095,120251.81172
94015,94015,94.00000,1.00000,0.00000,0.00000,75990.32450,97776.32240
94016,94016,94.00000,0.00000,0.00000,0.00000,107581.98769,115720.99777
94017,94017,94.00000,0.00000,0.00000,0.00000,67462.49314,116233.88027
94018,94018,94.00000,1.00000,0.00000,0.00000,74844.92969,102756.96875
94019,94019,94.00000,1.00000,0.00000,1.00000,82894.31913,112524.62045
94020,94020,94.00000,0.00000,0.00000,0.00000,95041.83998,121594.48930
94022,94022,94.00000,1.00000,0.00000,1.00000,93395.13457,127711.16426
94023,94023,94.00000,0.00000,0.00000,0.00000,103955.28386,121561.05827
94024,94024,94.00000,0.00000,0.00000,0.00000,89344.34757,114944.03573
94025,94025,94.00000,1.00000,0.00000,0.00000,80215.73557,112839.72729
94026,94026,94.00000,0.00000,0.00000,0.00000,87452.49030,126199.49634
94027,94027,94.00000,1.00000,0.00000,1.00000,91830.34390,124420.43289
94028,94028,94.00000,0.00000,0.00000,0.00000,77173.22123,114332.03711
94029,94029,94.00000,0.00000,0.00000,0.00000,61735.09304,99293.74304
94030,94030,94.00000,1.00000,1.00000,0.00000,73837.58594,103793.66699
94031,94031,94.00000,1.00000,0.00000,0.00000,79151.83472,113200.72310
94032,94032,94.00000,1.00000,0.00000,0.00000,103986.51244,117787.11537
94033,94033,94.00000,1.00000,0.00000,0.00000,103998.48527,117783.10484
94034,94034,94.00000,1.00000,0.00000,0.00000,103998.48527,117783.10484
94035,94035,94.00000,1.00000,1.00000,0.00000,89845.00000,97248.77344
94036,94036,94.00000,1.00000,0.00000,0.00000,67379.55781,117635.23047
94037,94037,94.00000,1.00000,0.00000,1.00000,80943.28770,110650.70391
94038,94038,94.00000,1.00000,0.00000,0.00000,110182.60059,114151.58027
94039,94039,94.00000,1.00000,0.00000,0.00000,62896.46084,110724.76270
94040,94040,94.00000,1.00000,0.00000,0.00000,62890.03398,110727.05867
94041,94041,94.00000,1.00000,1.00000,0.00000,74055.10996,124422.77575
94042,94042,94.00000,0.00000,0.00000,0.00000,102930.71395,116649.30375
94044,94044,94.00000,1.00000,1.00000,0.00000,109762.74824,115853.75977
94045,94045,94.00000,1.00000,1.00000,0.00000,97724.35938,119703.40625
94046,94046,94.00000,1.00000,1.00000,0.00000,74681.73749,124311.88400
94047,94047,94.00000,0.00000,0.00000,1.00000,103704.74792,117706.65589
94048,94048,94.00000,1.00000,0.00000,0.00000,74269.75781,102613.17969
94050,94050,94.00000,1.00000,1.00000,0.00000,70421.69355,117708.50352
94051,94051,94.00000,1.00000,1.00000,0.00000,70982.02862,121101.01010
94054,94054,94.00000,1.00000,1.00000,0.00000,80758.87305,99577.72383
94055,94055,94.00000,1.00000,0.00000,1.00000,73841.68418,103475.70176
94056,94056,94.00000,1.00000,0.00000,1.00000,73225.08984,126646.20781
94057,94057,94.00000,1.00000,0.00000,1.00000,72641.52734,123778.26953
94058,94058,94.00000,1.00000,0.00000,0.00000,83860.00441,102809.14251
94059,94059,94.00000,1.00000,1.00000,0.00000,80064.57084,99505.52473
94060,94060,94.00000,1.00000,1.00000,0.00000,74266.18802,103590.35957
94061,94061,94.00000,1.00000,0.00000,0.00000,68018.28410,116015.40762
94062,94062,94.00000,1.00000,0.00000,1.00000,95447.67411,118050.12595
94063,94063,94.00000,1.00000,0.00000,0.00000,103717.31602,115649.38008
94064,94064,94.00000,1.00000,1.00000,0.00000,71890.28227,118727.54628
94065,94065,94.00000,1.00000,0.00000,1.00000,73844.32813,102874.27793
94066,94066,94.00000,1.00000,0.00000,0.00000,90991.59746,121249.67162
94067,94067,94.00000,1.00000,0.00000,0.00000,61901.73961,112972.55050
