CASEID,NEWID,EVENT_YR,GUN,GANG,DRUG,X_COORD,Y_COORD
93002,93002,93.00000,0.00000,0.00000,0.00000,105536.21556,114440.68471
93003,93003,93.00000,1.00000,0.00000,0.00000,102405.71133,117943.99351
93004,93004,93.00000,1.00000,1.00000,0.00000,90927.23965,121263.04902
93005,93005,93.00000,1.00000,0.00000,1.00000,77839.63434,110263.73316
93006,93006,93.00000,1.00000,0.00000,0.00000,80282.88801,112220.78685
93007,93007,93.00000,0.00000,0.00000,0.00000,87052.12754,125912.01074
93008,93008,93.00000,0.00000,0.00000,0.00000,74211.96699,112444.34883
93009,93009,93.00000,1.00000,1.00000,0.00000,92212.74102,122331.35723
93010,93010,93.00000,1.00000,0.00000,1.00000,82465.77642,115323.57060
93011,93011,93.00000,0.00000,0.00000,0.00000,74046.64280,124413.29292
93012,93012,93.00000,1.00000,1.00000,0.00000,84458.93340,102232.10938
93013,93013,93.00000,1.00000,0.00000,0.00000,66408.18363,118743.72125
93014,93014,93.00000,0.00000,0.00000,1.00000,102285.48231,115008.43842
93015,93015,93.00000,0.00000,0.00000,1.00000,110045.64705,115435.37692
93016,93016,93.00000,0.00000,0.00000,0.00000,59769.71035,117095.82227
93017,93017,93.00000,1.00000,1.00000,0.00000,109161.78320,115309.05508
93018,93018,93.00000,1.00000,0.00000,0.00000,84223.00457,110722.64067
93019,93019,93.00000,1.00000,1.00000,0.00000,98594.86157,120295.63408
93020,93020,93.00000,1.00000,1.00000,0.00000,74020.10633,124815.86134
93021,93021,93.00000,1.00000,0.00000,0.00000,76976.58203,96006.01953
93022,93022,93.00000,0.00000,1.00000,0.00000,74020.10633,124815.86134
93023,93023,93.00000,0.00000,0.00000,0.00000,68704.42015,119558.06904
93024,93024,93.00000,1.00000,0.00000,0.00000,81055.95205,100221.53492
93025,93025,93.00000,1.00000,0.00000,0.00000,74414.06344,119655.26291
93026,93026,93.00000,1.00000,1.00000,0.00000,70353.29141,105874.75293
93027,93027,93.00000,1.00000,1.00000,0.00000,71790.55215,117784.30059
93028,93028,93.00000,0.00000,0.00000,0.00000,79707.86685,114111.90919
93029,93029,93.00000,1.00000,0.00000,1.00000,83298.96875,101875.29688
93030,93030,93.00000,0.00000,0.00000,0.00000,71438.24960,121692.14003
93031,93031,93.00000,1.00000,0.00000,1.00000,103897.27075,115392.92512
93032,93032,93.00000,0.00000,0.00000,0.00000,98228.30671,117970.27232
93033,93033,93.00000,1.00000,1.00000,0.00000,69584.49707,121389.40840
93034,93034,93.00000,1.00000,0.00000,1.00000,67689.23730,115593.02637
93035,93035,93.00000,0.00000,0.00000,0.00000,79581.80975,111391.10069
93036,93036,93.00000,1.00000,0.00000,0.00000,50194.11319,115219.03932
93037,93037,93.00000,1.00000,0.00000,0.00000,104539.56788,115370.68946
93038,93038,93.00000,1.00000,0.00000,0.00000,94840.86734,120519.30317
93039,93039,93.00000,1.00000,0.00000,1.00000,66240.47423,122729.19740
93040,93040,93.00000,1.00000,0.00000,1.00000,66240.47423,122729.19740
93041,93041,93.00000,1.00000,1.00000,0.00000,101139.19278,119503.40045
93042,93042,93.00000,0.00000,0.00000,1.00000,95929.77344,118264.82813
93043,93043,93.00000,1.00000,1.00000,0.00000,94577.47656,121282.22656
93044,93044,93.00000,1.00000,0.00000,0.00000,73490.69082,111126.07969
93045,93045,93.00000,1.00000,0.00000,1.00000,79767.46367,111764.29512
93046,93046,93.00000,1.00000,1.00000,0.00000,108985.89902,114775.54414
93047,93047,93.00000,0.00000,0.00000,0.00000,70157.64752,120738.31914
93048,93048,93.00000,1.00000,0.00000,0.00000,67855.64707,118518.62031
93049,93049,93.00000,0.00000,0.00000,0.00000,101572.24072,113998.73415
93050,93050,93.00000,1.00000,1.00000,0.00000,81726.41342,99865.21544
93051,93051,93.00000,1.00000,1.00000,0.00000,85516.89063,111195.89961
93052,93052,93.00000,1.00000,1.00000,0.00000,83077.15721,112665.94106
93053,93053,93.00000,0.00000,0.00000,0.00000,99104.35117,118171.93086
93054,93054,93.00000,1.00000,1.00000,0.00000,50562.91446,114953.67752
93055,93055,93.00000,1.00000,1.00000,0.00000,69911.25000,120888.21875
93056,93056,93.00000,1.00000,1.00000,0.00000,104153.15014,115875.03513
93057,93057,93.00000,1.00000,1.00000,0.00000,74693.42675,124225.31829
93058,93058,93.00000,0.00000,0.00000,0.00000,74987.97578,112688.18242
93059,93059,93.00000,0.00000,0.00000,0.00000,98084.03711,87016.13672
93060,93060,93.00000,1.00000,1.00000,0.00000,103777.43730,114348.62930
93061,93061,93.00000,0.00000,0.00000,0.00000,87046.33794,115353.48086
93062,93062,93.00000,0.00000,0.00000,0.00000,62684.73350,112516.72305
93063,93063,93.00000,1.00000,0.00000,0.00000,89183.06416,101696.09520
93064,93064,93.00000,1.00000,0.00000,0.00000,80043.34828,113668.55777
93065,93065,93.00000,0.00000,0.00000,0.00000,72974.50508,112639.94707
93066,93066,93.00000,1.00000,1.00000,0.00000,71953.84960,117007.08598
93067,93067,93.00000,0.00000,0.00000,0.00000,50861.04989,116060.49833
93068,93068,93.00000,0.00000,0.00000,0.00000,57769.28180,107878.81514
93069,93069,93.00000,0.00000,0.00000,0.00000,77473.52119,112715.71676
93070,93070,93.00000,1.00000,0.00000,0.00000,97728.42168,119705.20078
93071,93071,93.00000,0.00000,0.00000,0.00000,109702.22188,115695.19570
93072,93072,93.00000,1.00000,0.00000,1.00000,63852.44932,101034.44434
93073,93073,93.00000,1.00000,1.00000,0.00000,73809.56228,124147.77357
93074,93074,93.00000,0.00000,0.00000,0.00000,87763.87109,119247.43359
93075,93075,93.00000,0.00000,0.00000,0.00000,87763.87109,119247.43359
93076,93076,93.00000,0.00000,0.00000,0.00000,87763.87109,119247.43359
93077,93077,93.00000,1.00000,0.00000,0.00000,80782.50321,112814.37833
93078,93078,93.00000,1.00000,1.00000,0.00000,89793.01170,96560.92152
93079,93079,93.00000,1.00000,0.00000,0.00000,70143.78126,117259.22844
93081,93081,93.00000,1.00000,1.00000,0.00000,102662.53901,115983.69972
93082,93082,93.00000,1.00000,1.00000,0.00000,67539.14688,118304.84180
93083,93083,93.00000,1.00000,0.00000,0.00000,83077.15721,112665.94106
94001,94001,94.00000,0.00000,0.00000,0.00000,82365.40530,103673.01636
94002,94002,94.00000,1.00000,1.00000,0.00000,91339.42207,121630.06113
94003,94003,94.00000,1.00000,1.00000,0.00000,102635.56250,120524.23462
94004,94004,94.00000,1.00000,1.00000,0.00000,101247.95078,119129.11816
94005,94005,94.00000,1.00000,0.00000,1.00000,79887.57031,113368.75513
94006,94006,93.00000,0.00000,0.00000,0.00000,88876.46019,120147.33087
94007,94007,94.00000,0.00000,0.00000,0.00000,102189.34229,116512.66121
94008,94008,94.00000,0.00000,0.00000,0.00000,102189.34229,116512.66121
94009,94009,94.00000,1.00000,1.00000,0.00000,96439.89453,119029.54297
94010,94010,94.00000,1.00000,1.00000,0.00000,100864.20645,120556.44648
94011,94011,94.00000,0.00000,0.00000,0.00000,84377.88770,109301.72129
94012,94012,94.00000,1.00000,1.00000,0.00000,99294.57852,119093.82031
94013,94013,94.00000,1.00000,0.00000,1.00000,50670.13633,115957.66074
94014,94014,94.00000,1.00000,1.00000,0.00000,91663.31095,120251.81172
94015,94015,94.00000,1.00000,0.00000,0.00000,75990.32450,97776.32240
94016,94016,94.00000,0.00000,0.00000,0.00000,107581.98769,115720.99777
94017,94017,94.00000,0.00000,0.00000,0.00000,67462.49314,116233.88027
94018,94018,94.00000,1.00000,0.00000,0.00000,74844.92969,102756.96875
94019,94019,94.00000,1.00000,0.00000,1.00000,82894.31913,112524.62045
94020,94020,94.00000,0.00000,0.00000,0.00000,95041.83998,121594.48930
94022,94022,94.00000,1.00000,0.00000,1.00000,93395.13457,127711.16426
94023,94023,94.00000,0.00000,0.00000,0.00000,103955.28386,121561.05827
94024,94024,94.00000,0.00000,0.00000,0.00000,89344.34757,114944.03573
94025,94025,94.00000,1.00000,0.00000,0.00000,80215.73557,112839.72729
94026,94026,94.00000,0.00000,0.00000,0.00000,87452.49030,126199.49634
94027,94027,94.00000,1.00000,0.00000,1.00000,91830.34390,124420.43289
94028,94028,94.00000,0.00000,0.00000,0.00000,77173.22123,114332.03711
94029,94029,94.00000,0.00000,0.00000,0.00000,61735.09304,99293.74304
94030,94030,94.00000,1.00000,1.00000,0.00000,73837.58594,103793.66699
94031,94031,94.00000,1.00000,0.00000,0.00000,79151.83472,113200.72310
94032,94032,94.00000,1.00000,0.00000,0.00000,103986.51244,117787.11537
94033,94033,94.00000,1.00000,0.00000,0.00000,103998.48527,117783.10484
94034,94034,94.00000,1.00000,0.00000,0.00000,103998.48527,117783.10484
94035,94035,94.00000,1.00000,1.00000,0.00000,89845.00000,97248.77344
94036,94036,94.00000,1.00000,0.00000,0.00000,67379.55781,117635.23047
