FIPS,MSA,TOT_POP,POP_16,POP_65,WHITE_,BLACK_,ASIAN_,HISP_,MULTI_RA,MALES,FEMALES,MALE1664,FEM1664,EMPL16,EMP_AWAY,EMP_HOME,EMP_29,EMP_30,EMP16_2,EMP_MALE,EMP_FEM,OCC_MAN,OCC_OFF1,OCC_INFO,HH_INC,POV_POP,POV_TOT,HSG_VAL,FIPSNO,POLYID
06061022001,Sacramento,5501,1077,518,4961,29,82,336,31,2982,2519,2115,1791,2889,2606,283,1573,1033,2972,1785,1187,117,663,42,52941,5461,470,225900,6061022001,1
06061020106,Sacramento,2072,396,109,1603,0,28,391,41,1065,1007,839,728,1151,1067,84,908,159,1175,653,522,38,229,19,51958,2052,160,249300,6061020106,2
06061020107,Sacramento,3633,911,126,1624,9,0,1918,41,1970,1663,1459,1137,1791,1692,99,1354,338,1857,1159,698,86,197,0,32992,3604,668,175900,6061020107,3
06061020105,Sacramento,1683,281,154,1564,0,55,60,4,820,863,606,642,1013,954,59,789,165,1026,507,519,5,256,6,54556,1683,116,302300,6061020105,4
06061020200,Sacramento,5794,1278,830,5185,17,13,251,229,2913,2881,1861,1825,2633,2423,210,739,1684,2730,1470,1260,155,506,59,50815,5771,342,167300,6061020200,5
06061020101,Sacramento,755,90,53,698,0,19,33,5,420,335,348,264,405,377,28,325,52,424,296,128,11,111,9,60167,755,63,247800,6061020101,6
06061020104,Sacramento,1817,244,280,1771,25,16,0,0,970,847,701,592,856,754,102,653,101,941,556,385,42,101,5,49063,1775,203,394000,6061020104,7
06061020103,Sacramento,1096,155,66,1064,0,9,13,6,639,457,501,374,766,738,28,673,65,777,458,319,4,153,8,52171,1096,56,311600,6061020103,8
06061020102,Sacramento,1102,195,62,1034,0,0,20,39,563,539,456,389,704,622,82,564,58,721,412,309,10,193,31,62500,1102,50,376000,6061020102,9
06061022002,Sacramento,5297,1175,729,4805,4,18,298,126,2612,2685,1680,1713,2543,2394,149,1318,1076,2601,1425,1176,129,589,73,46747,5249,370,194000,6061022002,10
06017030503,Sacramento,1184,220,106,1117,4,0,0,53,631,553,469,389,665,583,82,450,133,681,398,283,0,200,15,51333,1184,90,232800,6017030503,11
06061021901,Sacramento,3074,596,454,2760,0,55,172,75,1538,1536,1028,996,1565,1514,51,931,583,1603,865,738,74,307,5,55000,3008,206,206500,6061021901,12
06061021304,Sacramento,4727,1022,584,3972,0,72,477,143,2423,2304,1608,1513,2232,1976,256,807,1169,2278,1268,1010,116,424,57,52286,4692,328,235900,6061021304,13
06061021902,Sacramento,4305,967,675,3865,0,21,184,134,2183,2122,1308,1355,2046,1883,163,1076,807,2074,1149,925,74,535,84,59443,4286,130,225400,6061021902,14
06061021600,Sacramento,7347,1439,1432,6260,0,291,585,137,3494,3853,2250,2226,2942,2770,172,1851,919,3051,1640,1411,192,659,30,38854,6866,673,228600,6061021600,15
06017030603,Sacramento,2776,577,349,2577,0,7,130,54,1345,1431,877,973,1186,1123,63,443,680,1231,637,594,49,254,31,41982,2759,229,157500,6017030603,16
06061021801,Sacramento,4032,822,556,3700,20,33,140,109,2040,1992,1361,1293,1722,1562,160,860,702,1787,980,807,86,439,44,67300,4026,147,245900,6061021801,17
06017030602,Sacramento,5786,1224,778,5204,55,27,285,158,2993,2793,1970,1814,2362,2218,144,774,1444,2434,1263,1171,50,490,39,47672,5716,454,161200,6017030602,18
06061021301,Sacramento,2747,674,273,2295,37,0,299,101,1402,1345,943,857,1292,1189,103,632,557,1333,757,576,77,287,40,56432,2747,167,172800,6061021301,19
06017030200,Sacramento,5072,1283,393,2541,39,316,2102,54,2638,2434,1841,1555,2304,2198,106,1883,315,2400,1318,1082,72,342,21,33560,4975,802,144700,6017030200,20
06017030101,Sacramento,283,30,22,150,0,33,96,0,162,121,139,92,150,95,55,75,20,150,87,63,0,48,0,28750,283,61,123500,6017030101,21
06017030102,Sacramento,4088,1023,269,1511,27,701,1794,49,2220,1868,1558,1238,1912,1869,43,1663,206,1979,1146,833,55,216,41,32045,4076,547,175700,6017030102,22
06061021501,Sacramento,4360,857,776,3762,4,72,369,128,2141,2219,1389,1338,1866,1767,99,1183,584,1905,1003,902,113,368,67,45426,4222,302,189700,6061021501,23
06017030300,Sacramento,5805,1283,425,4121,0,159,1280,163,2873,2932,2082,2015,2958,2858,100,2520,338,3012,1517,1495,98,367,0,32492,5740,711,148700,6017030300,24
06017030401,Sacramento,4260,793,569,3569,8,86,440,149,2075,2185,1440,1458,2203,2069,134,1777,292,2284,1223,1061,85,381,13,51092,4242,207,189300,6017030401,25
06017030501,Sacramento,6174,1389,521,5567,102,73,276,120,3196,2978,2187,2077,3209,2986,223,2608,378,3269,1756,1513,87,679,74,56528,6174,252,193300,6017030501,26
06017030601,Sacramento,4607,1015,611,4162,13,14,231,125,2338,2269,1475,1506,2151,2005,146,715,1290,2193,1149,1044,135,577,28,61505,4601,114,212200,6017030601,27
06061021502,Sacramento,3632,788,536,3323,6,50,199,20,1721,1911,1098,1210,1820,1695,125,1209,486,1817,963,854,74,423,44,54412,3611,217,195900,6061021502,28
06061021802,Sacramento,5999,1196,1475,5369,6,79,369,96,2765,3234,1552,1776,2451,2310,141,1590,720,2473,1205,1268,136,468,63,48729,5791,400,176500,6061021802,29
06017030502,Sacramento,3047,624,244,2805,0,40,125,70,1578,1469,1115,1064,1795,1707,88,1463,244,1835,924,911,31,363,29,50948,3047,151,165100,6017030502,30
