ZIP,PO_NAME,STATE,POP2001,MSA,EST98,EMP98,EFLAG98,PAY98,EST01,EMP01,EFLAG01,PAY01,CBSA_CODE,MAN98,MAN98_12,MAN98_39,MAN01,MAN01_12,MAN01_39,MAN98US,MAN98US12,MAN98US39,MAN01US,MANUS01_12,MANUS01_39,OFF98,OFF98_12,OFF98_39,OFF01,OFF01_12,OFF01_39,OFF98US,OFF98US12,OFF98US39,OFF01US,OFFUS01_12,OFFUS01_39,INFO98,INFO98_12,INFO98_39,INFO01,INFO01_12,INFO01_39,INFO98US,INFO98US12,INFO98US39,INFO01US,INFOUS01_1,INFOUS01_3,INDEX,NUMSEC,EST98_0,EST01_0,PCTNGE,PCTIME,PCTCSE,PCTGRO,ID
30446,NEWINGTON,GA,1828,Savannah,19,116,,3065,19,121,,3378,42340,1,1,0,1,1,0,366249,187700,178549,352619,181948,170671,2,1,1,2,1,1,763131,577158,185973,787693,590622,197071,2,1,1,2,1,1,120552,78486,42066,137293,89935,47358,77,9,19,21,2.21,1.03,7.29,10.53,0
31303,CLYO,GA,1703,Savannah,20,152,,2590,13,71,,1509,42340,1,1,0,1,0,1,366249,187700,178549,352619,181948,170671,8,7,1,4,4,0,643168,512744,130424,669668,527639,142029,0,0,0,0,0,0,120552,78486,42066,137293,89935,47358,79,10,20,16,2.21,-0.72,-21.49,-20.00,1
31329,SPRINGFIELD,GA,7619,Savannah,131,904,,16947,138,1078,,23681,42340,2,2,0,2,1,1,366249,187700,178549,352619,181948,170671,30,27,3,29,28,1,1742649,1410483,332166,1831150,1468265,362885,4,2,2,2,1,1,120552,78486,42066,137293,89935,47358,88,16,147,138,2.21,0.17,-8.50,-6.12,2
31312,GUYTON,GA,11538,Savannah,80,270,,4644,84,380,,7220,42340,1,1,0,1,1,0,366249,187700,178549,352619,181948,170671,13,12,1,15,12,3,1330398,1092342,238056,1406122,1140819,265303,1,1,0,1,1,0,120552,78486,42066,137293,89935,47358,81,16,86,84,2.21,0.87,-5.41,-2.33,3
30415,BROOKLET,GA,6131,Savannah,73,494,,10234,87,562,,10711,42340,8,6,2,7,5,2,366249,187700,178549,352619,181948,170671,12,10,2,13,13,0,1742649,1410483,332166,1831150,1468265,362885,0,0,0,0,0,0,120552,78486,42066,137293,89935,47358,76,14,79,87,2.21,-1.18,9.10,10.13,4
31326,RINCON,GA,12921,Savannah,212,3138,,102412,253,3878,,123650,42340,9,5,4,9,4,5,366249,187700,178549,352619,181948,170671,81,67,14,67,59,8,1742649,1410483,332166,1831150,1468265,362885,3,3,0,3,2,1,120552,78486,42066,137293,89935,47358,86,16,240,253,2.21,-0.07,3.28,5.42,5
31321,PEMBROKE,GA,5538,Savannah,83,507,,10142,79,464,,10247,42340,0,0,0,0,0,0,366249,187700,178549,352619,181948,170671,11,9,2,12,11,1,1742649,1410483,332166,1831150,1468265,362885,3,3,0,2,1,1,120552,78486,42066,137293,89935,47358,83,14,83,80,2.21,-0.26,-5.57,-3.61,6
31308,ELLABELL,GA,6641,Savannah,38,134,,2169,36,174,,2399,42340,1,1,0,1,1,0,366249,187700,178549,352619,181948,170671,1,1,0,1,1,0,687230,579598,107632,736454,613180,123274,0,0,0,0,0,0,120552,78486,42066,137293,89935,47358,80,12,38,36,2.21,-0.81,-6.67,-5.26,7
31407,SAVANNAH,GA,3224,Savannah,123,2531,,82150,121,2047,,72008,42340,6,1,5,6,1,5,366249,187700,178549,352619,181948,170671,16,8,8,12,7,5,1786327,1432035,354292,1878709,1492857,385852,0,0,0,0,0,0,120552,78486,42066,137293,89935,47358,93,17,124,121,2.21,-0.76,-3.87,-2.42,8
31302,BLOOMINGDALE,GA,8328,Savannah,57,327,,6362,70,494,,9295,42340,2,1,1,2,1,1,366249,187700,178549,352619,181948,170671,10,9,1,9,8,1,1330398,1092342,238056,1406122,1140819,265303,1,1,0,1,1,0,120552,78486,42066,137293,89935,47358,78,14,67,70,2.21,1.15,1.11,4.48,9
31408,SAVANNAH,GA,11223,Savannah,483,15258,,640531,515,16200,,591940,42340,32,12,20,30,10,20,366249,187700,178549,352619,181948,170671,83,53,30,91,56,35,1786327,1432035,354292,1878709,1492857,385852,7,6,1,11,6,5,120552,78486,42066,137293,89935,47358,94,19,504,515,2.21,-0.90,0.87,2.18,10
31322,POOLER,GA,6246,Savannah,150,1580,,29694,193,2734,,59009,42340,8,6,2,8,4,4,366249,187700,178549,352619,181948,170671,57,37,20,52,45,7,1786327,1432035,354292,1878709,1492857,385852,4,4,0,2,2,0,120552,78486,42066,137293,89935,47358,84,17,171,193,2.21,0.32,10.33,12.87,11
31314,FORT STEWART,GA,3008,Savannah,19,706,,22877,22,860,,29097,42340,0,0,0,0,0,0,366249,187700,178549,352619,181948,170671,9,4,5,9,6,3,1742649,1410483,332166,1831150,1468265,362885,1,1,0,3,3,0,120552,78486,42066,137293,89935,47358,82,9,20,22,2.21,1.16,6.63,10.00,12
31415,SAVANNAH,GA,12552,Savannah,134,1745,,49118,141,1757,,50662,42340,16,10,6,17,6,11,366249,187700,178549,352619,181948,170671,10,7,3,13,8,5,1786327,1432035,354292,1878709,1492857,385852,1,0,1,1,1,0,120552,78486,42066,137293,89935,47358,98,17,134,142,2.21,-1.44,5.20,5.97,13
31401,SAVANNAH,GA,21639,Savannah,1145,16551,,376784,1089,16886,,461472,42340,19,8,11,18,11,7,366249,187700,178549,352619,181948,170671,346,256,90,369,281,88,1786327,1432035,354292,1878709,1492857,385852,43,26,17,14,6,8,120552,78486,42066,137293,89935,47358,89,20,1145,1329,2.21,0.66,13.20,16.07,14
31410,SAVANNAH,GA,22670,Savannah,320,2341,,36189,350,2857,,44470,42340,7,4,3,8,5,3,366249,187700,178549,352619,181948,170671,84,71,13,102,95,7,1786327,1432035,354292,1878709,1492857,385852,4,4,0,3,3,0,120552,78486,42066,137293,89935,47358,96,17,398,350,2.21,0.31,-14.58,-12.06,15
31404,SAVANNAH,GA,31904,Savannah,497,10839,,292900,465,10604,,335238,42340,25,15,10,22,11,11,366249,187700,178549,352619,181948,170671,64,52,12,69,53,16,1786327,1432035,354292,1878709,1492857,385852,6,6,0,6,3,3,120552,78486,42066,137293,89935,47358,90,19,497,505,2.21,-0.35,-0.25,1.61,16
31405,SAVANNAH,GA,31260,Savannah,978,14929,,402145,937,16528,,530453,42340,32,23,9,27,15,12,366249,187700,178549,352619,181948,170671,222,173,49,209,171,38,1786327,1432035,354292,1878709,1492857,385852,13,10,3,21,10,11,120552,78486,42066,137293,89935,47358,91,20,978,955,2.21,0.06,-4.62,-2.35,17
31409,SAVANNAH,GA,1290,Savannah,11,45,,1167,15,149,,5870,42340,1,1,0,1,0,1,366249,187700,178549,352619,181948,170671,5,4,1,5,4,1,1450361,1156756,293605,1524147,1203802,320345,0,0,0,0,0,0,120552,78486,42066,137293,89935,47358,95,9,15,15,2.21,-0.10,-2.11,0.00,18
31328,TYBEE ISLAND,GA,3751,Savannah,97,622,,10298,93,695,,13502,42340,2,2,0,2,2,0,366249,187700,178549,352619,181948,170671,17,15,2,18,17,1,1742649,1410483,332166,1831150,1468265,362885,0,0,0,0,0,0,120552,78486,42066,137293,89935,47358,87,15,97,100,2.21,-0.14,1.02,3.09,19
31406,SAVANNAH,GA,34700,Savannah,1350,17726,,360811,1316,17583,,396345,42340,18,16,2,10,7,3,366249,187700,178549,352619,181948,170671,413,332,81,401,313,88,1786327,1432035,354292,1878709,1492857,385852,19,17,2,16,9,7,120552,78486,42066,137293,89935,47358,92,20,1350,1380,2.21,0.43,-0.42,2.22,20
31411,SAVANNAH,GA,7074,Savannah,97,804,,26970,107,1037,,33584,42340,1,1,0,1,1,0,366249,187700,178549,352619,181948,170671,44,40,4,51,42,9,1742649,1410483,332166,1831150,1468265,362885,1,1,0,1,1,0,120552,78486,42066,137293,89935,47358,97,15,106,107,2.21,1.30,-2.57,0.94,21
31324,RICHMOND HILL,GA,14960,Savannah,245,2080,,39131,290,2622,,54711,42340,6,4,2,6,4,2,366249,187700,178549,352619,181948,170671,47,37,10,70,58,12,1786327,1432035,354292,1878709,1492857,385852,14,13,1,5,3,2,120552,78486,42066,137293,89935,47358,85,18,277,290,2.21,0.42,2.06,4.69,22
31419,SAVANNAH,GA,41863,Savannah,570,9225,,184997,583,9641,,204256,42340,8,5,3,8,6,2,366249,187700,178549,352619,181948,170671,124,105,19,105,87,18,1786327,1432035,354292,1878709,1492857,385852,4,4,0,2,2,0,120552,78486,42066,137293,89935,47358,99,19,600,583,2.21,-0.14,-4.91,-2.83,23
