ZIP,PO_NAME,STATE,POP2001,MSA,EST98,EMP98,EFLAG98,PAY98,EST01,EMP01,EFLAG01,PAY01,CBSA_CODE,MAN98,MAN98_12,MAN98_39,MAN01,MAN01_12,MAN01_39,MAN98US,MAN98US12,MAN98US39,MAN01US,MANUS01_12,MANUS01_39,OFF98,OFF98_12,OFF98_39,OFF01,OFF01_12,OFF01_39,OFF98US,OFF98US12,OFF98US39,OFF01US,OFFUS01_12,OFFUS01_39,INFO98,INFO98_12,INFO98_39,INFO01,INFO01_12,INFO01_39,INFO98US,INFO98US12,INFO98US39,INFO01US,INFOUS01_1,INFOUS01_3,INDEX,NUMSEC,EST98_0,EST01_0,PCTNGE,PCTIME,PCTCSE,PCTGRO,ID
98241,DARRINGTON,WA,1940,Seattle,40,468,,13299,41,455,,11970,42660,3,2,1,3,1,2,366249,187700,178549,352619,181948,170671,8,6,2,7,7,0,1742649,1410483,332166,1831150,1468265,362885,0,0,0,0,0,0,120552,78486,42066,137293,89935,47358,659,13,44,41,2.21,-1.25,-7.78,-6.82,0
98223,ARLINGTON,WA,36244,Seattle,810,9353,,259006,837,8722,,247867,42660,106,60,46,99,59,40,366249,187700,178549,352619,181948,170671,129,116,13,143,125,18,1786327,1432035,354292,1878709,1492857,385852,8,7,1,10,7,3,120552,78486,42066,137293,89935,47358,657,21,819,837,2.21,-0.37,0.35,2.20,1
98292,STANWOOD,WA,17897,Seattle,621,3871,,84210,483,3473,,89683,42660,31,22,9,22,16,6,366249,187700,178549,352619,181948,170671,103,94,9,96,88,8,1742649,1410483,332166,1831150,1468265,362885,7,7,0,5,3,2,120552,78486,42066,137293,89935,47358,669,19,621,686,2.21,-0.06,8.32,10.47,2
98252,GRANITE FALLS,WA,7023,Seattle,108,533,,11931,120,673,,17808,42660,5,4,1,5,4,1,366249,187700,178549,352619,181948,170671,18,18,0,18,18,0,1786327,1432035,354292,1878709,1492857,385852,1,1,0,1,1,0,120552,78486,42066,137293,89935,47358,661,19,114,120,2.21,-0.29,3.34,5.26,3
98271,MARYSVILLE,WA,23362,Seattle,253,3591,,106708,311,4431,,126930,42660,39,21,18,38,18,20,366249,187700,178549,352619,181948,170671,42,34,8,46,41,5,1742649,1410483,332166,1831150,1468265,362885,1,1,0,1,1,0,120552,78486,42066,137293,89935,47358,664,19,271,311,2.21,-1.10,13.65,14.76,4
98258,LAKE STEVENS,WA,18076,Seattle,287,1652,,31502,327,2073,,44512,42660,14,12,2,12,8,4,366249,187700,178549,352619,181948,170671,60,57,3,60,55,5,1742649,1410483,332166,1831150,1468265,362885,6,4,2,4,3,1,120552,78486,42066,137293,89935,47358,662,17,317,327,2.21,-0.19,1.13,3.15,5
98270,MARYSVILLE,WA,35968,Seattle,756,7574,,158188,824,7729,,186998,42660,40,27,13,43,29,14,366249,187700,178549,352619,181948,170671,172,150,22,159,138,21,1786327,1432035,354292,1878709,1492857,385852,15,8,7,8,4,4,120552,78486,42066,137293,89935,47358,663,18,876,824,2.21,-0.10,-8.05,-5.94,6
98205,EVERETT,WA,17349,Seattle,235,2704,,85483,234,1932,,62818,42660,6,4,2,6,3,3,366249,187700,178549,352619,181948,170671,43,39,4,49,43,6,1742649,1410483,332166,1831150,1468265,362885,6,5,1,2,1,1,120552,78486,42066,137293,89935,47358,655,18,235,248,2.21,0.37,2.95,5.53,7
98290,SNOHOMISH,WA,30602,Seattle,708,4861,,110349,740,5239,,136909,42660,43,37,6,43,37,6,366249,187700,178549,352619,181948,170671,146,122,24,153,135,18,1786327,1432035,354292,1878709,1492857,385852,13,13,0,5,4,1,120552,78486,42066,137293,89935,47358,668,20,808,740,2.21,-0.24,-10.38,-8.42,8
98201,EVERETT,WA,28464,Seattle,1318,18501,,598426,1300,19246,,658709,42660,59,25,34,60,29,31,366249,187700,178549,352619,181948,170671,370,290,80,363,280,83,1786327,1432035,354292,1878709,1492857,385852,19,13,6,17,13,4,120552,78486,42066,137293,89935,47358,652,19,1318,1327,2.21,0.33,-1.86,0.68,9
98294,SULTAN,WA,6330,Seattle,122,580,,12508,136,677,,16933,42660,11,7,4,12,7,5,366249,187700,178549,352619,181948,170671,15,14,1,18,18,0,1742649,1410483,332166,1831150,1468265,362885,1,1,0,1,1,0,120552,78486,42066,137293,89935,47358,670,16,133,136,2.21,-1.00,1.04,2.26,10
98272,MONROE,WA,24240,Seattle,615,6260,,146183,645,6819,,174689,42660,61,43,18,60,42,18,366249,187700,178549,352619,181948,170671,131,114,17,118,100,18,1786327,1432035,354292,1878709,1492857,385852,11,9,2,5,5,0,120552,78486,42066,137293,89935,47358,665,20,657,645,2.21,-0.48,-3.56,-1.83,11
98203,EVERETT,WA,32804,Seattle,615,9124,,259557,636,10671,,342583,42660,35,16,19,35,10,25,366249,187700,178549,352619,181948,170671,175,153,22,158,132,26,1786327,1432035,354292,1878709,1492857,385852,6,2,4,5,3,2,120552,78486,42066,137293,89935,47358,653,19,681,636,2.21,-0.27,-8.55,-6.61,12
98275,MUKILTEO,WA,18882,Seattle,498,5564,,178951,503,5751,,206280,42660,66,29,37,62,24,38,366249,187700,178549,352619,181948,170671,129,113,16,124,106,18,1786327,1432035,354292,1878709,1492857,385852,7,4,3,6,3,3,120552,78486,42066,137293,89935,47358,666,18,505,503,2.21,-0.21,-2.39,-0.40,13
98208,EVERETT,WA,46927,Seattle,757,7628,,156242,809,8059,,182208,42660,13,13,0,11,9,2,366249,187700,178549,352619,181948,170671,177,142,35,211,178,33,1786327,1432035,354292,1878709,1492857,385852,24,12,12,13,8,5,120552,78486,42066,137293,89935,47358,656,18,806,809,2.21,0.80,-2.64,0.37,14
98204,EVERETT,WA,32212,Seattle,668,47629,,2031433,682,44180,,2502884,42660,61,29,32,60,31,29,366249,187700,178549,352619,181948,170671,131,94,37,131,97,34,1786327,1432035,354292,1878709,1492857,385852,23,14,9,28,21,7,120552,78486,42066,137293,89935,47358,654,18,672,682,2.21,-0.53,-0.20,1.49,15
98026,EDMONDS,WA,35605,Seattle,804,6203,,173735,756,5869,,194341,42660,14,10,4,14,13,1,366249,187700,178549,352619,181948,170671,159,155,4,184,171,13,1786327,1432035,354292,1878709,1492857,385852,9,6,3,10,9,1,120552,78486,42066,137293,89935,47358,587,19,804,1146,2.21,0.65,39.67,42.54,16
98037,LYNNWOOD,WA,41132,Seattle,930,10444,,273966,995,11972,,330901,42660,43,28,15,42,31,11,366249,187700,178549,352619,181948,170671,244,202,42,235,177,58,1786327,1432035,354292,1878709,1492857,385852,18,13,5,7,5,2,120552,78486,42066,137293,89935,47358,596,18,962,995,2.21,-0.16,1.38,3.43,17
98012,BOTHELL,WA,41902,Seattle,725,6919,,187831,774,6602,,178443,42660,32,18,14,28,18,10,366249,187700,178549,352619,181948,170671,236,200,36,221,197,24,1742649,1410483,332166,1831150,1468265,362885,16,14,2,10,7,3,120552,78486,42066,137293,89935,47358,579,17,893,774,2.21,0.02,-15.56,-13.33,18
98296,SNOHOMISH,WA,19969,Seattle,337,1736,,43755,417,2312,,59567,42660,27,22,5,22,19,3,366249,187700,178549,352619,181948,170671,86,74,12,92,79,13,1786327,1432035,354292,1878709,1492857,385852,2,2,0,2,2,0,120552,78486,42066,137293,89935,47358,671,18,371,417,2.21,-0.26,10.45,12.40,19
98251,GOLD BAR,WA,4497,Seattle,36,149,,2135,36,160,,3566,42660,2,2,0,2,2,0,366249,187700,178549,352619,181948,170671,8,7,1,9,9,0,1330398,1092342,238056,1406122,1140819,265303,0,0,0,0,0,0,120552,78486,42066,137293,89935,47358,660,12,36,38,2.21,0.23,3.12,5.56,20
98020,EDMONDS,WA,18578,Seattle,731,5811,,145834,783,5827,,165990,42660,14,12,2,13,10,3,366249,187700,178549,352619,181948,170671,237,205,32,279,237,42,1786327,1432035,354292,1878709,1492857,385852,18,13,5,15,11,4,120552,78486,42066,137293,89935,47358,582,19,749,783,2.21,0.62,1.71,4.54,21
98036,LYNNWOOD,WA,33494,Seattle,1386,17436,,419511,1405,17785,,480901,42660,56,36,20,53,35,18,366249,187700,178549,352619,181948,170671,392,319,73,404,305,99,1786327,1432035,354292,1878709,1492857,385852,37,25,12,26,17,9,120552,78486,42066,137293,89935,47358,595,19,1466,1405,2.21,0.34,-6.71,-4.16,22
98072,WOODINVILLE,WA,36289,Seattle,1440,16151,,504826,1446,19921,,692509,42660,169,94,75,146,71,75,366249,187700,178549,352619,181948,170671,375,318,57,370,306,64,1786327,1432035,354292,1878709,1492857,385852,24,20,4,18,16,2,120552,78486,42066,137293,89935,47358,613,19,1530,1446,2.21,-0.53,-7.17,-5.49,23
98021,BOTHELL,WA,21673,Seattle,449,7158,,374014,498,9258,,466060,42660,26,12,14,23,9,14,366249,187700,178549,352619,181948,170671,153,116,37,162,123,39,1786327,1432035,354292,1878709,1492857,385852,12,8,4,19,10,9,120552,78486,42066,137293,89935,47358,583,21,539,498,2.21,0.49,-10.31,-7.61,24
98043,MOUNTLAKE TERRACE,WA,20590,Seattle,378,5515,,199073,394,6574,,253580,42660,18,9,9,16,6,10,366249,187700,178549,352619,181948,170671,126,97,29,128,103,25,1742649,1410483,332166,1831150,1468265,362885,6,4,2,6,3,3,120552,78486,42066,137293,89935,47358,601,17,418,394,2.21,0.23,-8.18,-5.74,25
98224,BARING,WA,296,Seattle,5,6,,129,2,5,A,0,42660,0,0,0,0,0,0,366249,187700,178549,352619,181948,170671,2,2,0,2,2,0,1038110,838615,199495,1099119,876356,222763,0,0,0,0,0,0,120552,78486,42066,137293,89935,47358,658,5,5,5,2.21,5.65,-7.86,0.00,26
98288,SKYKOMISH,WA,351,Seattle,13,572,,4392,11,788,A,0,42660,0,0,0,0,0,0,366249,187700,178549,352619,181948,170671,0,0,0,0,0,0,1786327,1432035,354292,1878709,1492857,385852,1,1,0,1,1,0,120552,78486,42066,137293,89935,47358,667,7,13,13,2.21,0.45,-2.66,0.00,27
98177,SEATTLE,WA,18421,Seattle,316,1385,,36261,324,1496,,44321,42660,15,11,4,13,12,1,366249,187700,178549,352619,181948,170671,96,94,2,107,103,4,1742649,1410483,332166,1831150,1468265,362885,4,4,0,5,5,0,120552,78486,42066,137293,89935,47358,646,17,316,337,2.21,0.84,3.59,6.65,28
98133,SEATTLE,WA,43302,Seattle,1252,17283,,460435,1286,16922,,509028,42660,28,24,4,29,22,7,366249,187700,178549,352619,181948,170671,331,275,56,348,290,58,1786327,1432035,354292,1878709,1492857,385852,14,6,8,18,7,11,120552,78486,42066,137293,89935,47358,636,20,1297,1286,2.21,0.74,-3.80,-0.85,29
98155,SEATTLE,WA,33348,Seattle,767,5556,,124414,698,4759,,118722,42660,21,19,2,21,18,3,366249,187700,178549,352619,181948,170671,179,167,12,204,185,19,1786327,1432035,354292,1878709,1492857,385852,10,10,0,11,9,2,120552,78486,42066,137293,89935,47358,642,19,767,817,2.21,0.42,3.89,6.52,30
98019,DUVALL,WA,8411,Seattle,199,837,,22277,211,1304,,38506,42660,14,11,3,14,11,3,366249,187700,178549,352619,181948,170671,49,48,1,49,46,3,1786327,1432035,354292,1878709,1492857,385852,3,3,0,3,3,0,120552,78486,42066,137293,89935,47358,581,19,208,211,2.21,1.15,-1.92,1.44,31
98028,KENMORE,WA,18763,Seattle,287,1651,,40305,394,2477,,64788,42660,20,17,3,17,12,5,366249,187700,178549,352619,181948,170671,91,70,21,92,85,7,1742649,1410483,332166,1831150,1468265,362885,8,8,0,4,4,0,120552,78486,42066,137293,89935,47358,589,17,368,394,2.21,-0.35,5.20,7.07,32
98011,BOTHELL,WA,26786,Seattle,723,9714,,311896,668,12129,,518364,42660,17,11,6,20,13,7,366249,187700,178549,352619,181948,170671,255,188,67,232,180,52,1786327,1432035,354292,1878709,1492857,385852,12,11,1,27,6,21,120552,78486,42066,137293,89935,47358,578,19,723,758,2.21,0.82,1.81,4.84,33
