id,country,year,ehc,sur,fh,edu,lea,region,isoUNstats,isoPWT
1,Afghanistan,1990,1,30,41,2,61,Asia,4,AFG
1,Afghanistan,2016,4,34,45,7,64,Asia,4,AFG
2,Albania,1990,11,41,63,10,76,Europe,8,ALB
2,Albania,2016,14,43,69,11,78,Europe,8,ALB
3,Algeria,1990,8,40,61,10,63,Africa,12,DZA
3,Algeria,2016,14,42,70,12,68,Africa,12,DZA
4,American Samoa,1990,13,41,66,12,73,Oceania,16,ASM
4,American Samoa,2016,16,41,70,13,76,Oceania,16,ASM
5,Andorra,1990,21,43,88,12,85,Europe,20,AND
5,Andorra,2016,24,44,89,13,86,Europe,20,AND
6,Angola,1990,2,29,39,6,62,Africa,24,AGO
6,Angola,2016,7,37,50,10,66,Africa,24,AGO
7,Antigua and Barbuda,1990,10,42,74,9,70,Americas,28,ATG
7,Antigua and Barbuda,2016,14,42,76,11,70,Americas,28,ATG
8,Argentina,1990,12,41,76,10,71,Americas,32,ARG
8,Argentina,2016,16,42,81,12,72,Americas,32,ARG
9,Armenia,1990,15,40,71,13,76,Asia,51,ARM
9,Armenia,2016,17,42,72,13,78,Asia,51,ARM
10,Australia,1990,20,43,84,11,88,Oceania,36,AUS
10,Australia,2016,23,44,87,13,87,Oceania,36,AUS
11,Austria,1990,20,42,86,11,87,Europe,40,AUT
11,Austria,2016,24,44,88,13,87,Europe,40,AUT
12,Azerbaijan,1990,11,38,63,11,75,Asia,31,AZE
12,Azerbaijan,2016,14,41,69,11,76,Asia,31,AZE
13,Bahrain,1990,9,41,67,8,69,Asia,48,BHR
13,Bahrain,2016,14,43,77,11,74,Asia,48,BHR
14,Bangladesh,1990,2,34,40,5,65,Asia,50,BGD
14,Bangladesh,2016,6,41,48,8,69,Asia,50,BGD
15,Barbados,1990,15,42,75,12,72,Americas,52,BRB
15,Barbados,2016,18,42,76,14,74,Americas,52,BRB
16,Belarus,1990,18,40,79,12,81,Europe,112,BLR
16,Belarus,2016,23,42,82,15,84,Europe,112,BLR
17,Belgium,1990,22,42,87,12,87,Europe,56,BEL
17,Belgium,2016,25,44,88,13,88,Europe,56,BEL
18,Belize,1990,7,40,69,8,63,Americas,84,BLZ
18,Belize,2016,11,41,73,10,65,Americas,84,BLZ
19,Benin,1990,1,32,35,4,55,Africa,204,BEN
19,Benin,2016,4,37,48,8,58,Africa,204,BEN
20,Bermuda,1990,11,41,77,9,70,Americas,60,BMU
20,Bermuda,2016,12,43,79,9,68,Americas,60,BMU
