ps_id,region_name,subregion_name,Baburin Sergei Nikolaevich,Grudinin Pavel Nikolaevich,Zhirinovskiy Vladimir Volfovich,Putin Vladimir Vladimirovich,Sobchak Ksenia Anatolyevna,Suraikin Maksim Aleksandrovich,Titov Boris Yurievich,Yavlinskiy Gregory Alekseivich,Number of ballot papers in ballot boxes,Number of valid ballot papers,Number of voters enlisted,Number of ballot papers in portable ballot boxes,Number of ballot papers given inside the polling station,Number of ballot papers given outside the polling station,Number of ballot papers given for advance voting,Number of excessive ballot papers,Number of ballot papers acquired at the polling station,Number of invalid ballot papers,Number of unused ballot papers,Number of lost ballot papers
713,Altajskij kraj,Bystroistokskaa,1,109,42,398,2,3,0,0,421,555,815,139,421,139,0,0,750,5,190,0
714,Altajskij kraj,Bystroistokskaa,4,27,27,199,0,3,0,0,224,260,355,38,224,38,0,0,350,2,88,0
715,Altajskij kraj,Bystroistokskaa,3,100,47,325,2,1,2,1,424,481,812,63,424,63,0,0,750,6,263,0
716,Altajskij kraj,Bystroistokskaa,2,131,51,420,1,5,1,5,567,616,960,56,568,56,0,0,900,7,276,0
717,Altajskij kraj,Bystroistokskaa,6,155,66,406,5,2,2,1,586,643,1034,65,586,65,0,0,1000,8,349,0
718,Altajskij kraj,Bystroistokskaa,2,133,35,234,3,0,0,1,388,408,662,22,388,22,0,0,650,2,240,0
719,Altajskij kraj,Bystroistokskaa,1,137,35,322,2,4,3,2,427,506,720,87,427,87,0,0,700,8,186,0
720,Altajskij kraj,Bystroistokskaa,3,99,40,484,2,5,1,3,571,637,961,71,571,71,0,0,1000,5,358,0
721,Altajskij kraj,Bystroistokskaa,1,94,50,402,4,5,3,0,493,559,900,71,493,71,0,0,900,5,336,0
722,Altajskij kraj,Bystroistokskaa,2,25,9,126,2,4,0,1,149,169,205,20,149,20,0,0,200,0,31,0
724,Altajskij kraj,Volcihinskaa,5,362,102,594,3,7,4,6,1016,1083,1791,77,1016,77,0,0,1460,10,367,0
725,Altajskij kraj,Volcihinskaa,11,406,114,750,13,8,5,4,1231,1311,2153,99,1231,99,0,0,1820,19,490,0
726,Altajskij kraj,Volcihinskaa,4,426,82,686,6,8,3,3,1161,1218,1981,71,1161,71,0,0,1700,14,468,0
727,Altajskij kraj,Volcihinskaa,11,368,86,569,1,15,5,6,1037,1061,1654,43,1037,43,0,0,1420,19,340,0
728,Altajskij kraj,Volcihinskaa,0,20,5,44,0,0,1,1,69,71,110,2,69,2,0,0,100,0,29,0
729,Altajskij kraj,Volcihinskaa,3,70,28,172,0,2,0,0,262,275,444,15,262,15,0,0,390,2,113,0
730,Altajskij kraj,Volcihinskaa,5,178,55,392,7,5,2,5,597,649,939,61,597,61,0,0,800,9,142,0
731,Altajskij kraj,Volcihinskaa,2,43,29,107,0,1,0,0,163,182,257,19,163,19,0,0,220,0,38,0
732,Altajskij kraj,Volcihinskaa,4,116,28,390,2,2,0,1,428,543,659,115,428,115,0,0,560,0,17,0
733,Altajskij kraj,Volcihinskaa,5,118,66,390,2,6,2,1,554,590,836,40,554,40,0,0,690,4,96,0
734,Altajskij kraj,Volcihinskaa,3,85,37,280,0,5,0,0,352,410,641,61,352,61,0,0,550,3,137,0
735,Altajskij kraj,Volcihinskaa,0,17,20,159,1,1,0,0,176,198,262,24,176,24,0,0,230,2,30,0
736,Altajskij kraj,Volcihinskaa,0,49,28,148,0,1,1,0,216,227,307,14,216,14,0,0,270,3,40,0
737,Altajskij kraj,Volcihinskaa,2,98,29,233,3,2,1,0,327,368,428,43,327,43,0,0,420,2,50,0
738,Altajskij kraj,Volcihinskaa,2,31,30,208,1,2,2,0,250,276,375,28,250,28,0,0,330,2,52,0
739,Altajskij kraj,Volcihinskaa,7,94,47,346,2,4,2,0,453,502,691,56,453,56,0,0,580,7,71,0
740,Altajskij kraj,Volcihinskaa,4,151,57,370,3,1,1,3,513,590,711,85,513,85,0,0,600,8,2,0
741,Altajskij kraj,Volcihinskaa,0,16,18,32,0,0,0,1,59,67,79,10,59,10,0,0,70,2,1,0
743,Altajskij kraj,Egor_evskaa,2,20,10,176,0,0,0,0,162,208,260,46,162,46,0,0,250,0,42,0
744,Altajskij kraj,Egor_evskaa,1,15,10,78,0,0,0,0,93,104,160,13,93,13,0,0,150,2,44,0
745,Altajskij kraj,Egor_evskaa,1,98,21,278,0,1,0,0,345,399,597,56,345,56,0,0,600,2,199,0
746,Altajskij kraj,Egor_evskaa,2,59,34,169,1,0,0,1,219,266,423,51,219,51,0,0,450,4,180,0
747,Altajskij kraj,Egor_evskaa,7,149,61,389,2,2,2,2,469,614,959,157,469,157,0,0,1000,12,374,0
748,Altajskij kraj,Egor_evskaa,1,76,9,160,1,1,0,1,213,249,440,39,213,39,0,0,420,3,168,0
749,Altajskij kraj,Egor_evskaa,2,286,79,692,4,10,3,2,984,1078,1948,116,984,116,0,0,2000,22,900,0
750,Altajskij kraj,Egor_evskaa,5,370,115,996,10,4,2,4,1409,1506,2569,110,1410,110,0,0,2500,13,980,0
751,Altajskij kraj,Egor_evskaa,3,80,28,244,2,2,1,0,303,360,552,58,303,58,0,0,550,1,189,0
752,Altajskij kraj,Egor_evskaa,0,28,7,130,2,2,0,0,134,169,228,36,134,36,0,0,230,1,60,0
753,Altajskij kraj,Egor_evskaa,7,229,85,560,9,10,2,0,743,902,1346,162,743,162,0,0,1400,3,495,0
754,Altajskij kraj,Egor_evskaa,3,157,39,298,3,5,0,1,440,506,720,70,440,70,0,0,700,4,190,0
756,Altajskij kraj,El_zovskaa,3,7,13,121,0,0,0,1,132,145,173,15,132,11,4,0,190,2,43,0
757,Altajskij kraj,El_zovskaa,13,302,142,1017,12,12,6,6,1386,1510,2266,141,1390,141,0,0,2300,17,769,0
758,Altajskij kraj,El_zovskaa,1,129,59,571,7,2,0,1,671,770,1065,110,671,110,0,0,1100,11,319,0
759,Altajskij kraj,El_zovskaa,3,26,18,169,2,2,0,0,210,220,298,14,210,14,0,0,300,4,76,0
760,Altajskij kraj,El_zovskaa,7,58,53,395,3,7,4,1,352,528,715,186,352,186,0,0,710,10,172,0
761,Altajskij kraj,El_zovskaa,0,23,31,154,0,1,0,1,205,210,251,13,205,13,0,0,250,8,32,0
554,Altajskij kraj,Alejskaa,4,90,50,321,3,3,2,1,439,474,612,41,439,41,0,0,580,6,100,0
555,Altajskij kraj,Alejskaa,1,40,11,120,0,2,0,0,161,174,192,15,161,15,0,0,190,2,14,0
556,Altajskij kraj,Alejskaa,0,1,6,24,0,0,0,0,29,31,35,2,29,2,0,0,44,0,13,0
557,Altajskij kraj,Alejskaa,0,16,22,67,1,0,0,0,101,106,118,5,101,5,0,0,110,0,4,0
558,Altajskij kraj,Alejskaa,0,18,12,117,0,0,0,0,135,147,153,13,135,13,0,0,150,1,2,0
559,Altajskij kraj,Alejskaa,1,41,20,87,3,2,0,0,143,154,215,13,143,13,0,0,220,2,64,0
560,Altajskij kraj,Alejskaa,4,84,45,240,1,1,0,1,350,376,469,33,350,33,0,0,470,7,87,0
561,Altajskij kraj,Alejskaa,3,69,30,263,2,0,1,0,326,368,428,42,326,42,0,0,420,0,52,0
562,Altajskij kraj,Alejskaa,0,15,7,46,0,1,0,0,66,69,76,3,66,3,0,0,79,0,10,0
563,Altajskij kraj,Alejskaa,5,159,47,494,1,2,3,1,585,712,886,139,585,139,0,0,820,12,96,0
565,Altajskij kraj,Alejskaa,0,31,7,121,1,2,0,0,136,162,220,29,136,29,0,0,210,3,45,0
566,Altajskij kraj,Alejskaa,6,63,41,543,2,7,3,0,559,665,880,117,561,117,0,0,860,11,182,0
567,Altajskij kraj,Alejskaa,2,65,54,172,2,3,0,1,287,299,357,18,287,18,0,0,340,6,35,0
568,Altajskij kraj,Alejskaa,1,10,14,112,0,4,1,0,131,142,160,13,131,13,0,0,160,2,16,0
569,Altajskij kraj,Alejskaa,1,27,22,106,0,0,1,1,143,158,178,19,143,19,0,0,170,4,8,0
570,Altajskij kraj,Alejskaa,3,77,43,261,1,1,1,0,361,387,450,33,361,33,0,0,460,7,66,0
571,Altajskij kraj,Alejskaa,2,165,49,352,2,6,2,1,546,579,779,43,546,43,0,0,720,10,131,0
572,Altajskij kraj,Alejskaa,0,1,3,43,0,1,0,0,45,48,52,3,45,3,0,0,67,0,19,0
573,Altajskij kraj,Alejskaa,6,62,34,271,2,3,2,0,332,380,455,48,332,48,0,0,460,0,80,0
574,Altajskij kraj,Alejskaa,4,100,41,291,3,6,1,2,411,448,583,42,411,42,0,0,560,5,107,0
575,Altajskij kraj,Alejskaa,3,38,49,303,5,3,2,2,333,405,464,77,333,77,0,0,480,5,70,0
578,Altajskij kraj,Alejskaa,1,17,4,86,0,5,0,1,107,114,141,8,107,8,0,0,130,1,15,0
579,Altajskij kraj,Alejskaa,1,13,10,35,0,0,0,0,55,59,73,6,55,6,0,0,80,2,19,0
580,Altajskij kraj,Alejskaa,1,57,34,246,1,0,1,0,327,340,439,25,327,25,0,0,430,12,78,0
581,Altajskij kraj,Alejskaa,2,21,18,146,0,5,0,0,154,192,220,39,154,39,0,0,250,1,57,0
582,Altajskij kraj,Alejskaa,6,104,48,330,2,5,1,1,418,497,576,82,418,82,0,0,610,3,110,0
583,Altajskij kraj,Alejskaa,0,10,6,43,0,0,0,0,53,59,63,6,53,6,0,0,70,0,11,0
584,Altajskij kraj,Alejskaa,2,48,50,378,1,5,1,0,422,485,585,70,422,70,0,0,560,7,68,0
585,Altajskij kraj,Alejskaa,1,51,38,203,3,2,2,0,255,300,320,49,255,49,0,0,360,4,56,0
586,Altajskij kraj,Alejskaa,1,42,16,174,2,2,1,1,217,239,283,24,217,24,0,0,310,2,69,0
587,Altajskij kraj,Alejskaa,1,69,47,226,2,2,1,0,321,348,409,28,321,28,0,0,400,1,51,0
