POLY_IDcountry,iso3,status,CountryName,SubContinent,Continent,CountryName_std,Continent_std
1,SMR,Member State,San Marino,Southern Europe,Europe,San Marino,Europe
2,SYR,Member State,Syrian Arab Republic,Western Asia,Asia,Syria,Asia
3,LVA,Member State,Latvia,Northern Europe,Europe,Latvia,Europe
4,CPV,Member State,Cape Verde,Western Africa,Africa,Cape Verde,Africa
5,ZMB,Member State,Zambia,Eastern Africa,Africa,Zambia,Africa
6,BRN,Member State,Brunei Darussalam,South-Eastern Asia,Asia,Brunei,Asia
7,IRN,Member State,Iran (Islamic Republic of),Southern Asia,Asia,Iran,Asia
8,ITA,Member State,Italy,Southern Europe,Europe,Italy,Europe
9,LKA,Member State,Sri Lanka,Southern Asia,Asia,Sri Lanka,Asia
10,MHL,Member State,Marshall Islands,Micronesia,Oceania,Marshall Islands,Oceania
11,VGB,UK Non-Self-Governing Territory,British Virgin Islands,Caribbean,Americas,British Virgin Islands,Americas
12,ARE,Member State,United Arab Emirates,Western Asia,Asia,United Arab Emirates,Asia
13,KWT,Member State,Kuwait,Western Asia,Asia,Kuwait,Asia
14,AUS,Member State,Australia,Australia and New Zealand,Oceania,Australia,Oceania
15,MKD,Member State,The former Yugoslav Republic of Macedonia,Southern Europe,Europe,Macedonia,Europe
16,BEN,Member State,Benin,Western Africa,Africa,Benin,Africa
17,PRY,Member State,Paraguay,South America,Americas,Paraguay,Americas
18,BVT,NO Territory,Bouvet Island, ,Antarctica,bouvet island,
19,AND,Member State,Andorra,Southern Europe,Europe,Andorra,Europe
20,PER,Member State,Peru,South America,Americas,Peru,Americas
21,SLB,Member State,Solomon Islands,Melanesia,Oceania,Solomon Islands,Oceania
22,COG,Member State,Congo,Middle Africa,Africa,Congo,Africa
23,TKM,Member State,Turkmenistan,Central Asia,Asia,Turkmenistan,Asia
24,LCA,Member State,Saint Lucia,Caribbean,Americas,Saint Lucia,Americas
25,SLV,Member State,El Salvador,Central America,Americas,El Salvador,Americas
26,PCN,UK Non-Self-Governing Territory,Pitcairn Island,Polynesia,Oceania,pitcairn island,
27,KNA,Member State,Saint Kitts and Nevis,Caribbean,Americas,Saint Kitts and Nevis,Americas
28,ATF,FR Territory,French Southern and Antarctic Territories, ,Antarctica,french sourn and antarctic territories,
29,CHL,Member State,Chile,South America,Americas,Chile,Americas
30,GIN,Member State,Guinea,Western Africa,Africa,Guinea,Africa
31,SVN,Member State,Slovenia,Southern Europe,Europe,Slovenia,Europe
32,BHS,Member State,Bahamas,Caribbean,Americas,Bahamas,Americas
33,ARG,Member State,Argentina,South America,Americas,Argentina,Americas
34,IOT,UK Territory,British Indian Ocean Territory,Eastern Africa,Africa,british indian ocean territory,
35,COK,NZ Territory,Cook Islands,Polynesia,Oceania,Cook Islands,Oceania
36,TCD,Member State,Chad,Middle Africa,Africa,Chad,Africa
37,TTO,Member State,Trinidad and Tobago,Caribbean,Americas,Trinidad and Tobago,Americas
38,ALB,Member State,Albania,Southern Europe,Europe,Albania,Europe
39,SVK,Member State,Slovakia,Eastern Europe,Europe,Slovak Republic,Europe
40,ARM,Member State,Armenia,Western Asia,Asia,Armenia,Asia
41,NLD,Member State,Netherlands,Western Europe,Europe,Netherlands,Europe
42,GIB,UK Non-Self-Governing Territory,Gibraltar,Southern Europe,Europe,Gibraltar,Europe
43,MLI,Member State,Mali,Western Africa,Africa,Mali,Africa
44,ERI,Member State,Eritrea,Eastern Africa,Africa,Eritrea,Africa
45,IRL,Member State,Ireland,Northern Europe,Europe,Ireland,Europe
46,UGA,Member State,Uganda,Eastern Africa,Africa,Uganda,Africa
47,UZB,Member State,Uzbekistan,Central Asia,Asia,Uzbekistan,Asia
48,IDN,Member State,Indonesia,South-Eastern Asia,Asia,Indonesia,Asia
49, ,US Territory,Guantanamo,Caribbean,Americas,guantanamo,
50,MWI,Member State,Malawi,Eastern Africa,Africa,Malawi,Africa
51,FJI,Member State,Fiji,Melanesia,Oceania,Fiji,Oceania
52,LIE,Member State,Liechtenstein,Western Europe,Europe,Liechtenstein,Europe
53,KIR,Member State,Kiribati,Micronesia,Oceania,Kiribati,Oceania
54,CRI,Member State,Costa Rica,Central America,Americas,Costa Rica,Americas
55,GRL,DK Territory,Greenland,Northern America,Americas,Greenland,Americas
56, ,FR Territory,Glorioso Islands,Eastern Africa,Africa,glorioso islands,
57,CAN,Member State,Canada,Northern America,Americas,Canada,Americas
58, ,UK Territory,Guernsey,Northern Europe,Europe,guernsey,
59,GTM,Member State,Guatemala,Central America,Americas,Guatemala,Americas
60, ,Sovereignty unsettled,Paracel Islands,South-Eastern Asia,Asia,paracel islands,
61, , ,Abyei,Northern Africa,Africa,abyei,
62,ETH,Member State,Ethiopia,Eastern Africa,Africa,Ethiopia,Africa
63,COM,Member State,Comoros,Eastern Africa,Africa,Comoros,Africa
64,POL,Member State,Poland,Eastern Europe,Europe,Poland,Europe
65,KGZ,Member State,Kyrgyzstan,Central Asia,Asia,Kyrgyz Republic,Asia
66,PLW,Member State,Palau,Micronesia,Oceania,Palau,Oceania
67,SUR,Member State,Suriname,South America,Americas,Suriname,Americas
68,TUV,Member State,Tuvalu,Polynesia,Oceania,Tuvalu,Oceania
69,PSE,Occupied Territory (under review),Gaza Strip,Western Asia,Asia,gaza strip,
70,VCT,Member State,Saint Vincent and the Grenadines,Caribbean,Americas,Saint Vincent and the Grenadines,Americas
71,QAT,Member State,Qatar,Western Asia,Asia,Qatar,Asia
72,JOR,Member State,Jordan,Western Asia,Asia,Jordan,Asia
73,BIH,Member State,Bosnia & Herzegovina,Southern Europe,Europe,Bosnia and Herzegovina,Europe
74,ROU,Member State,Romania,Eastern Europe,Europe,Romania,Europe
75,BLR,Member State,Belarus,Eastern Europe,Europe,Belarus,Europe
76,TZA,Member State,United Republic of Tanzania,Eastern Africa,Africa,Tanzania,Africa
77,SDN,Member State,Sudan,Northern Africa,Africa,Sudan,Africa
78,ECU,Member State,Ecuador,South America,Americas,Ecuador,Americas
79,MEX,Member State,Mexico,Central America,Americas,Mexico,Americas
80,FSM,Member State,Micronesia (Federated States of),Micronesia,Oceania,Micronesia,Oceania
81,BRA,Member State,Brazil,South America,Americas,Brazil,Americas
82,REU,FR Territory,Reunion,Eastern Africa,Africa,Reunion,Africa
83,PYF,FR Territory,French Polynesia,Polynesia,Oceania,French Polynesia,Oceania
84,CAF,Member State,Central African Republic,Middle Africa,Africa,Central African Republic,Africa
85,HTI,Member State,Haiti,Caribbean,Americas,Haiti,Americas
86, ,US Territory,Midway Is.,Northern America,Americas,midway is,
87,GLP,FR Territory,Guadeloupe,Caribbean,Americas,Guadeloupe,Americas
88,SAU,Member State,Saudi Arabia,Western Asia,Asia,Saudi Arabia,Asia
89,TWN,CN Province,Taiwan,Eastern Asia,Asia,Taiwan,
90,PRT,PT Territory,Azores Islands,Southern Europe,Europe,azores islands,
91,HRV,Member State,Croatia,Southern Europe,Europe,Croatia,Europe
92,MNE,Member State,Montenegro,Southern Europe,Europe,Montenegro,
93,VNM,Member State,Vietnam,South-Eastern Asia,Asia,Vietnam,Asia
94, ,US Territory,Jarvis Island,Northern America,Americas,jarvis island,
95,SJM,NO Territory,Svalbard and Jan Mayen Islands,Northern Europe,Europe,svalbard and jan mayen islands,
96,GUY,Member State,Guyana,South America,Americas,Guyana,Americas
97, ,Adm. by SDN,Hala'ib Triangle,Northern Africa,Africa,hala'ib triangle,
98,AFG,Member State,Afghanistan,Southern Asia,Asia,Afghanistan,Asia
99,MUS,Member State,Mauritius,Eastern Africa,Africa,Mauritius,Africa
100,JPN,Member State,Japan,Eastern Asia,Asia,Japan,Asia
