id,ln_gpdpc1929,ln_gpdpc1930,ln_gpdpc1931,ln_gpdpc1932,ln_gpdpc1933,ln_gpdpc1934,ln_gpdpc1935,ln_gpdpc1936,ln_gpdpc1937,ln_gpdpc1938,ln_gpdpc1939,ln_gpdpc1940,ln_gpdpc1941,ln_gpdpc1942,ln_gpdpc1943,ln_gpdpc1944,ln_gpdpc1945,ln_gpdpc1946,ln_gpdpc1947,ln_gpdpc1948,ln_gpdpc1949,ln_gpdpc1950,ln_gpdpc1951,ln_gpdpc1952,ln_gpdpc1953,ln_gpdpc1954,ln_gpdpc1955,ln_gpdpc1956,ln_gpdpc1957,ln_gpdpc1958,ln_gpdpc1959,ln_gpdpc1960,ln_gpdpc1961,ln_gpdpc1962,ln_gpdpc1963,ln_gpdpc1964,ln_gpdpc1965,ln_gpdpc1966,ln_gpdpc1967,ln_gpdpc1968,ln_gpdpc1969,ln_gpdpc1970,ln_gpdpc1971,ln_gpdpc1972,ln_gpdpc1973,ln_gpdpc1974,ln_gpdpc1975,ln_gpdpc1976,ln_gpdpc1977,ln_gpdpc1978,ln_gpdpc1979,ln_gpdpc1980,ln_gpdpc1981,ln_gpdpc1982,ln_gpdpc1983,ln_gpdpc1984,ln_gpdpc1985,ln_gpdpc1986,ln_gpdpc1987,ln_gpdpc1988,ln_gpdpc1989,ln_gpdpc1990,ln_gpdpc1991,ln_gpdpc1992,ln_gpdpc1993,ln_gpdpc1994,ln_gpdpc1995,ln_gpdpc1996,ln_gpdpc1997,ln_gpdpc1998,ln_gpdpc1999,ln_gpdpc2000,ln_gpdpc2001,ln_gpdpc2002,ln_gpdpc2003,ln_gpdpc2004,ln_gpdpc2005,ln_gpdpc2006,ln_gpdpc2007,ln_gpdpc2008,ln_gpdpc2009,state,region,g1929_1994,g1929_1945,g1946_1994,g1995_2009,g1929_2009
1,6.6080008,6.4892049,6.280396,5.9964519,5.9295893,6.0935698,6.1944056,6.3438807,6.3952618,6.3664703,6.4199948,6.4892049,6.7615728,7.0867381,7.2923369,7.3310604,7.2577076,7.2449417,7.3158836,7.3926477,7.374629,7.4506607,7.5358305,7.5873103,7.6333694,7.63868,7.6572828,7.6834035,7.7240047,7.7323694,7.7748556,7.7981124,7.8379488,7.8935719,7.9138865,7.9578772,8.0320349,8.1271095,8.1792002,8.2558289,8.3180103,8.3440294,8.3850327,8.4618921,8.5777235,8.6859226,8.7846212,8.8791943,8.9659729,9.0923452,9.2068338,9.2977104,9.3845453,9.427949,9.4821978,9.5483112,9.5981846,9.6500139,9.6989202,9.7567263,9.8346729,9.9047871,9.9475527,9.995018,10.017441,10.04841,10.080713,10.138045,10.196792,10.26228,10.321935,10.358631,10.375146,10.379908,10.402261,10.462646,10.48397,10.557816,10.615996,10.635567,10.611991,Washington,Pacific,3.4404097,2.7907028,-2.8034687,-.53127766,-4.0039902
2,6.3835068,6.2166061,5.9454207,5.8260002,5.6970935,5.8971539,6.1654177,6.1633148,6.2383246,6.2480431,6.2785215,6.3438807,6.5694814,6.8035054,7.0475173,7.075809,7.0950642,7.1762547,7.3024964,7.4036703,7.2527623,7.4109521,7.4988699,7.5082388,7.5010819,7.4792995,7.5464463,7.5647569,7.5923662,7.6343374,7.6123366,7.6377163,7.6133251,7.7676873,7.7536235,7.7689562,7.8430638,7.9120569,7.9391589,7.9912539,8.096817,8.1956091,8.2398577,8.3790798,8.5195904,8.5904436,8.6645784,8.7323046,8.8002644,8.9516993,9.0238905,9.1207438,9.2344475,9.2753792,9.3097334,9.3677711,9.3842936,9.4306803,9.4723969,9.5001698,9.5903511,9.6501427,9.7116613,9.7476521,9.8021193,9.8052683,9.839695,9.8721514,9.9118032,9.9675884,9.9996614,10.024333,10.099958,10.114518,10.164428,10.222559,10.274603,10.339869,10.392834,10.413102,10.3951,Montana,Mtn,3.4217615,2.7102041,-2.6290135,-.55540466,-4.0115929
3,6.3985949,6.3561077,6.196444,5.9322453,5.9162021,6.0306854,6.0637851,6.2265368,6.2344108,6.1548581,6.2045579,6.2653012,6.4473057,6.753438,7.0048819,7.0048819,6.9837899,7.0335064,7.0639038,7.1228666,7.075809,7.0859013,7.184629,7.2710085,7.2786288,7.2779384,7.3658128,7.41998,7.4500794,7.4938741,7.5229411,7.5595593,7.551187,7.5923662,7.6251073,7.7016525,7.7761154,7.8395257,7.8853292,7.9627638,8.0519781,8.1382723,8.1870213,8.2594585,8.370779,8.4688425,8.5209856,8.6496239,8.7229061,8.8174458,8.9222584,9.0369387,9.1303225,9.1975594,9.2639761,9.3643484,9.43612,9.5077009,9.5884342,9.6685877,9.7342405,9.7687559,9.779171,9.8173847,9.842144,9.8797579,9.9154158,9.9661341,10.012567,10.065989,10.110623,10.151246,10.206107,10.230307,10.265593,10.31563,10.332702,10.38406,10.422876,10.460414,10.470732,Maine,N Eng,3.481163,2.895968,-2.8462515,-.55531597,-4.0721369
4,5.9454207,5.7397928,5.2311087,5.1704841,4.9836068,5.1929569,5.6058021,5.4553213,5.7868972,5.6419072,5.7651911,5.872118,6.2709885,6.4997869,6.8731637,6.9382844,6.9527287,6.9920964,7.3092122,7.3018222,7.0992017,7.21524,7.2751722,7.1838708,7.1974354,7.2181768,7.3065314,7.3498735,7.3765082,7.521318,7.4259539,7.5071411,7.410347,7.7493224,7.6694951,7.6553907,7.8091354,7.8268423,7.8601851,7.9080195,8.0235519,8.0752716,8.207674,8.384119,8.7277784,8.7193174,8.7536869,8.7297201,8.7682629,9.0040541,9.0357485,8.9990015,9.243969,9.3047409,9.3401394,9.4179239,9.4580593,9.4823503,9.5152483,9.4528942,9.5719929,9.6728153,9.6970778,9.7808676,9.7886381,9.8539295,9.8566055,9.9601517,9.9426117,10.033068,10.056767,10.129348,10.17038,10.195037,10.278803,10.298094,10.362304,10.39989,10.487991,10.571548,10.562871,North Dakota,W N Cen,3.9085088,2.9012008,-2.8618331,-.70626545,-4.6174502
5,6.0544395,5.9026332,5.484797,5.2417469,4.8598123,5.2149358,5.7333412,5.4971681,5.7776523,5.768321,5.8435445,5.8888779,6.1633148,6.6293631,6.7405195,6.8865318,6.9902563,7.0317411,7.1467724,7.3304052,7.0175061,7.1569562,7.3112183,7.1906762,7.2696166,7.2841349,7.2019162,7.2577076,7.41998,7.4616404,7.3550019,7.5336938,7.5299435,7.6458759,7.6108527,7.6009026,7.7310534,7.8240461,7.8543811,7.9276853,8.0046997,8.0882549,8.1713171,8.3101692,8.5492735,8.5521746,8.642415,8.6289139,8.7563677,8.9020472,9.0067539,9.0047913,9.1538763,9.2018042,9.2296524,9.3603973,9.3878164,9.4323635,9.4892588,9.5329313,9.6001501,9.6951094,9.7386723,9.796236,9.8290329,9.8836422,9.8958588,9.9867249,10.01122,10.077314,10.128429,10.170265,10.223068,10.230162,10.31135,10.36612,10.395926,10.413913,10.491219,10.550277,10.50504,South Dakota,W N Cen,3.8292027,2.8933859,-2.8519011,-.6091814,-4.4506006
6,6.5147128,6.3716121,6.1654177,5.9242558,5.9162021,6.0185933,6.2065759,6.3117347,6.4085288,6.329721,6.3750248,6.4002576,6.658011,6.8501263,7.0475173,7.1098795,7.1372786,7.2167096,7.3172126,7.3839893,7.4067106,7.4494982,7.5781455,7.5559049,7.5663109,7.527256,7.556428,7.6063876,7.6648159,7.6834035,7.7310534,7.7458682,7.7777925,7.8248458,7.8379488,7.8586407,7.9168077,7.9745331,8.0459089,8.1062126,8.1842346,8.273592,8.3591347,8.4572306,8.5960045,8.7277784,8.8100119,8.883502,9.0060186,9.1467609,9.2659645,9.3718634,9.4633532,9.491828,9.4511671,9.5099258,9.5639505,9.5470982,9.5605745,9.6136694,9.7039995,9.797905,9.84517,9.8807306,9.9177351,9.9502277,9.9764595,10.003242,10.07828,10.123707,10.180967,10.212074,10.279249,10.303203,10.359138,10.425876,10.510069,10.634604,10.679435,10.718344,10.657353,Wyoming,Mtn,3.4355149,2.8129492,-2.7335181,-.6808939,-4.1426406
7,6.5117455,6.3767271,6.1506028,5.891644,5.8081427,5.9401712,6.1333981,6.2499752,6.3117347,6.2285109,6.2402759,6.3044486,6.5102582,6.763885,6.9593987,7.0112138,7.0749631,7.0992017,7.167038,7.2682228,7.2348986,7.3172126,7.4593387,7.4949861,7.5169773,7.4809923,7.5363641,7.59589,7.6304612,7.6377163,7.7075124,7.7222347,7.7424021,7.7882113,7.8071032,7.8694019,7.9334383,8.0146666,8.0646362,8.1435175,8.2297773,8.2897902,8.3518467,8.432724,8.542861,8.6344423,8.70963,8.8053751,8.9115295,9.0230465,9.135725,9.2263117,9.3061962,9.3580704,9.3964882,9.4866076,9.5356798,9.583971,9.6393919,9.6928282,9.7584038,9.8069763,9.8368673,9.8970671,9.9349375,9.9850216,10.024509,10.067051,10.118196,10.175231,10.217934,10.248211,10.280587,10.303538,10.330616,10.364166,10.392834,10.449729,10.486792,10.50764,10.482233,Wisconsin,E N Cen,3.4732761,2.9100585,-2.8858199,-.45772362,-3.9704876
8,6.2285109,6.2205901,5.9242558,5.6131282,5.4249501,5.9989367,5.9889612,6.1633148,6.0473723,6.0544395,6.0799332,6.1377273,6.3902407,6.8178306,6.9324479,6.9985094,7.0343881,7.0925736,7.1530519,7.2041492,7.1522689,7.1921821,7.3112183,7.4048877,7.3460102,7.3518,7.3752556,7.45472,7.4860525,7.5049419,7.5448608,7.5485559,7.5883236,7.6458759,7.6815605,7.7186856,7.8454161,7.8597994,7.9211726,7.9759083,8.0922394,8.1769543,8.23244,8.330864,8.4572306,8.5908155,8.62533,8.7186632,8.7810946,8.8982286,8.9738579,9.0750933,9.1489964,9.1717033,9.241354,9.311904,9.3628035,9.3899918,9.4423246,9.5139942,9.6025848,9.6719341,9.6924582,9.754756,9.8123589,9.8440561,9.8848143,9.9209833,9.94415,9.9952917,10.03605,10.093281,10.131578,10.145845,10.162461,10.234445,10.275154,10.340258,10.378728,10.383503,10.341323,Idaho,Mtn,3.6155453,2.8096681,-2.7514825,-.45650864,-4.112812
9,6.4520488,6.3561077,6.1612072,5.8998976,5.8230457,5.9480348,6.025866,6.1548581,6.1841488,6.1246834,6.196444,6.2461066,6.4661446,6.652863,6.8373327,6.8596148,6.9421568,6.9939332,7.0273147,7.0833879,7.0255384,7.0639038,7.1959372,7.2298388,7.2668276,7.2834482,7.3290939,7.4115562,7.4500794,7.4570322,7.5131636,7.5616417,7.597898,7.6362696,7.6629376,7.7257714,7.8062892,7.9116907,7.9672804,8.0481491,8.1279955,8.1980896,8.2573853,8.3371096,8.4224424,8.4906435,8.5548744,8.6574764,8.7289114,8.8587952,8.9686508,9.0713081,9.181632,9.238636,9.3027372,9.3966541,9.4722433,9.5354624,9.6152716,9.6925812,9.7709274,9.801178,9.8101654,9.8674974,9.8926792,9.9307623,9.9692287,10.012117,10.058867,10.11872,10.161573,10.199919,10.244947,10.262943,10.295834,10.349455,10.370988,10.445638,10.491775,10.51705,10.511948,Vermont,N Eng,3.4787135,2.9886055,-2.9368291,-.54271889,-4.0598989
10,6.3952618,6.3135481,6.1246834,5.894403,5.7300997,5.8805332,6.1114674,6.1569791,6.2915692,6.2025356,6.2480431,6.2614918,6.4216223,6.6808548,6.8532991,6.9137373,7.0121155,7.0817084,7.1467724,7.2800083,7.1914291,7.2703128,7.3664451,7.3981743,7.4448333,7.4524026,7.4899707,7.5164332,7.5652752,7.6088705,7.6328855,7.6755462,7.7124438,7.7540526,7.8079166,7.8399196,7.9305658,8.0053673,8.0652657,8.1498909,8.237215,8.3072128,8.3605394,8.4398804,8.5998783,8.6721439,8.7348824,8.8141823,8.9304943,9.044404,9.1494217,9.2418394,9.3343267,9.3919954,9.4409761,9.5648632,9.6219864,9.6728783,9.7350101,9.7751999,9.8504028,9.9040375,9.9276438,9.9849758,10.001884,10.063351,10.109811,10.176068,10.223685,10.292247,10.335043,10.376642,10.39925,10.420881,10.455762,10.505204,10.529426,10.580683,10.622766,10.652518,10.619374,Minnesota,W N Cen,3.6680889,3.0512352,-2.9816422,-.50956345,-4.2241125
